Years,State and territory,Leave entitlements,Industry,Median_Weekly_Earnings,Median Weekly Earnings Divide 10
2014,   Tasmania,Total employees,"Agriculture, forestry and fishing",961,96.08
2014,   Tasmania,Total employees,Mining,1845,184.5
2014,   Tasmania,Total employees,Manufacturing,1020,102
2014,   Tasmania,Total employees,"Electricity, gas, water and waste services",1314,131.39
2014,   Tasmania,Total employees,Construction,1077,107.73
2014,   Tasmania,Total employees,Wholesale trade,1024,102.4
2014,   Tasmania,Total employees,Retail trade,850,85
2014,   Tasmania,Total employees,Accommodation and food services,958,95.77
2014,   Tasmania,Total employees,"Transport, postal and warehousing",1187,118.7
2014,   Tasmania,Total employees,Information Media and telecommunications,1134,113.41
2014,   Tasmania,Total employees,Financial and insurance services,1074,107.42
2014,   Tasmania,Total employees,"Rental, hiring and real estate services",852,85.15
2014,   Tasmania,Total employees,"Professional, scientific and technical services",1155,115.5
2014,   Tasmania,Total employees,Administrative and support services,798,79.82
2014,   Tasmania,Total employees,Public administration and safety,1283,128.28
2014,   Tasmania,Total employees,Education and training,1423,142.27
2014,   Tasmania,Total employees,Health care and social assistance,1050,105
2014,   Tasmania,Total employees,Arts and recreation services,949,94.93
2014,   Tasmania,Total employees,Other services,891,89.05
2014,   Northern Territory,Total employees,"Agriculture, forestry and fishing",0,0
2014,   Northern Territory,Total employees,Mining,2145,214.51
2014,   Northern Territory,Total employees,Manufacturing,1690,168.98
2014,   Northern Territory,Total employees,"Electricity, gas, water and waste services",1985,198.49
2014,   Northern Territory,Total employees,Construction,1527,152.66
2014,   Northern Territory,Total employees,Wholesale trade,1216,121.56
2014,   Northern Territory,Total employees,Retail trade,925,92.48
2014,   Northern Territory,Total employees,Accommodation and food services,929,92.93
2014,   Northern Territory,Total employees,"Transport, postal and warehousing",1534,153.41
2014,   Northern Territory,Total employees,Information Media and telecommunications,1498,149.81
2014,   Northern Territory,Total employees,Financial and insurance services,1491,149.08
2014,   Northern Territory,Total employees,"Rental, hiring and real estate services",1192,119.19
2014,   Northern Territory,Total employees,"Professional, scientific and technical services",1836,183.61
2014,   Northern Territory,Total employees,Administrative and support services,855,85.48
2014,   Northern Territory,Total employees,Public administration and safety,1500,150
2014,   Northern Territory,Total employees,Education and training,1400,140
2014,   Northern Territory,Total employees,Health care and social assistance,1300,130
2014,   Northern Territory,Total employees,Arts and recreation services,1177,117.73
2014,   Northern Territory,Total employees,Other services,1350,134.95
2014,   Australian Capital Territory,Total employees,"Agriculture, forestry and fishing",0,0
2014,   Australian Capital Territory,Total employees,Mining,0,0
2014,   Australian Capital Territory,Total employees,Manufacturing,1258,125.8
2014,   Australian Capital Territory,Total employees,"Electricity, gas, water and waste services",1661,166.05
2014,   Australian Capital Territory,Total employees,Construction,1190,119.02
2014,   Australian Capital Territory,Total employees,Wholesale trade,0,0
2014,   Australian Capital Territory,Total employees,Retail trade,958,95.79
2014,   Australian Capital Territory,Total employees,Accommodation and food services,845,84.49
2014,   Australian Capital Territory,Total employees,"Transport, postal and warehousing",1322,132.22
2014,   Australian Capital Territory,Total employees,Information Media and telecommunications,1735,173.47
2014,   Australian Capital Territory,Total employees,Financial and insurance services,1117,111.73
2014,   Australian Capital Territory,Total employees,"Rental, hiring and real estate services",1536,153.56
2014,   Australian Capital Territory,Total employees,"Professional, scientific and technical services",1669,166.91
2014,   Australian Capital Territory,Total employees,Administrative and support services,1410,141
2014,   Australian Capital Territory,Total employees,Public administration and safety,1698,169.83
2014,   Australian Capital Territory,Total employees,Education and training,1556,155.61
2014,   Australian Capital Territory,Total employees,Health care and social assistance,1201,120.1
2014,   Australian Capital Territory,Total employees,Arts and recreation services,1331,133.14
2014,   Australian Capital Territory,Total employees,Other services,1060,105.99
2015,   New South Wales,Total employees,"Agriculture, forestry and fishing",916,91.61
2015,   New South Wales,Total employees,Mining,2250,225
2015,   New South Wales,Total employees,Manufacturing,1157,115.73
2015,   New South Wales,Total employees,"Electricity, gas, water and waste services",1459,145.92
2015,   New South Wales,Total employees,Construction,1212,121.23
2015,   New South Wales,Total employees,Wholesale trade,1151,115.06
2015,   New South Wales,Total employees,Retail trade,958,95.8
2015,   New South Wales,Total employees,Accommodation and food services,933,93.32
2015,   New South Wales,Total employees,"Transport, postal and warehousing",1200,120
2015,   New South Wales,Total employees,Information Media and telecommunications,1404,140.39
2015,   New South Wales,Total employees,Financial and insurance services,1555,155.53
2015,   New South Wales,Total employees,"Rental, hiring and real estate services",1151,115.1
2015,   New South Wales,Total employees,"Professional, scientific and technical services",1499,149.86
2015,   New South Wales,Total employees,Administrative and support services,1150,115
2015,   New South Wales,Total employees,Public administration and safety,1498,149.82
2015,   New South Wales,Total employees,Education and training,1536,153.59
2015,   New South Wales,Total employees,Health care and social assistance,1250,125
2015,   New South Wales,Total employees,Arts and recreation services,1039,103.87
2015,   New South Wales,Total employees,Other services,1020,101.97
2015,   Victoria,Total employees,"Agriculture, forestry and fishing",954,95.39
2015,   Victoria,Total employees,Mining,1934,193.38
2015,   Victoria,Total employees,Manufacturing,1131,113.14
2015,   Victoria,Total employees,"Electricity, gas, water and waste services",1577,157.73
2015,   Victoria,Total employees,Construction,1247,124.67
2015,   Victoria,Total employees,Wholesale trade,1099,109.93
2015,   Victoria,Total employees,Retail trade,998,99.84
2015,   Victoria,Total employees,Accommodation and food services,900,90
2015,   Victoria,Total employees,"Transport, postal and warehousing",1152,115.24
2015,   Victoria,Total employees,Information Media and telecommunications,1500,150
2015,   Victoria,Total employees,Financial and insurance services,1497,149.67
2015,   Victoria,Total employees,"Rental, hiring and real estate services",1232,123.17
2015,   Victoria,Total employees,"Professional, scientific and technical services",1288,128.78
2015,   Victoria,Total employees,Administrative and support services,943,94.27
2015,   Victoria,Total employees,Public administration and safety,1500,150
2015,   Victoria,Total employees,Education and training,1342,134.21
2015,   Victoria,Total employees,Health care and social assistance,1100,110
2015,   Victoria,Total employees,Arts and recreation services,1125,112.49
2015,   Victoria,Total employees,Other services,970,97.04
2015,   Queensland,Total employees,"Agriculture, forestry and fishing",1080,107.99
2015,   Queensland,Total employees,Mining,2132,213.23
2015,   Queensland,Total employees,Manufacturing,1129,112.9
2015,   Queensland,Total employees,"Electricity, gas, water and waste services",1534,153.4
2015,   Queensland,Total employees,Construction,1248,124.8
2015,   Queensland,Total employees,Wholesale trade,1059,105.9
2015,   Queensland,Total employees,Retail trade,881,88.13
2015,   Queensland,Total employees,Accommodation and food services,950,94.95
2015,   Queensland,Total employees,"Transport, postal and warehousing",1200,120
2015,   Queensland,Total employees,Information Media and telecommunications,1255,125.51
2015,   Queensland,Total employees,Financial and insurance services,1197,119.68
2015,   Queensland,Total employees,"Rental, hiring and real estate services",1146,114.57
2015,   Queensland,Total employees,"Professional, scientific and technical services",1365,136.45
2015,   Queensland,Total employees,Administrative and support services,1050,105.02
2015,   Queensland,Total employees,Public administration and safety,1252,125.23
2015,   Queensland,Total employees,Education and training,1349,134.91
2015,   Queensland,Total employees,Health care and social assistance,1189,118.87
2015,   Queensland,Total employees,Arts and recreation services,1050,105
2015,   Queensland,Total employees,Other services,1145,114.48
2015,   South Australia,Total employees,"Agriculture, forestry and fishing",997,99.72
2015,   South Australia,Total employees,Mining,2301,230.1
2015,   South Australia,Total employees,Manufacturing,1100,110
2015,   South Australia,Total employees,"Electricity, gas, water and waste services",1386,138.64
2015,   South Australia,Total employees,Construction,1176,117.58
2015,   South Australia,Total employees,Wholesale trade,1059,105.94
2015,   South Australia,Total employees,Retail trade,942,94.16
2015,   South Australia,Total employees,Accommodation and food services,933,93.34
2015,   South Australia,Total employees,"Transport, postal and warehousing",1200,120
2015,   South Australia,Total employees,Information Media and telecommunications,1328,132.78
2015,   South Australia,Total employees,Financial and insurance services,1250,125
2015,   South Australia,Total employees,"Rental, hiring and real estate services",1305,130.47
2015,   South Australia,Total employees,"Professional, scientific and technical services",1445,144.51
2015,   South Australia,Total employees,Administrative and support services,1041,104.05
2015,   South Australia,Total employees,Public administration and safety,1400,140
2015,   South Australia,Total employees,Education and training,1443,144.33
2015,   South Australia,Total employees,Health care and social assistance,1150,115
2015,   South Australia,Total employees,Arts and recreation services,1075,107.51
2015,   South Australia,Total employees,Other services,1000,100
2015,   Western Australia,Total employees,"Agriculture, forestry and fishing",1000,100
2015,   Western Australia,Total employees,Mining,2100,209.99
2015,   Western Australia,Total employees,Manufacturing,1250,125
2015,   Western Australia,Total employees,"Electricity, gas, water and waste services",1575,157.46
2015,   Western Australia,Total employees,Construction,1309,130.87
2015,   Western Australia,Total employees,Wholesale trade,1227,122.68
2015,   Western Australia,Total employees,Retail trade,974,97.43
2015,   Western Australia,Total employees,Accommodation and food services,985,98.54
2015,   Western Australia,Total employees,"Transport, postal and warehousing",1323,132.34
2015,   Western Australia,Total employees,Information Media and telecommunications,1579,157.9
2015,   Western Australia,Total employees,Financial and insurance services,1454,145.35
2015,   Western Australia,Total employees,"Rental, hiring and real estate services",1106,110.55
2015,   Western Australia,Total employees,"Professional, scientific and technical services",1627,162.68
2015,   Western Australia,Total employees,Administrative and support services,1200,119.97
2015,   Western Australia,Total employees,Public administration and safety,1500,150
2015,   Western Australia,Total employees,Education and training,1483,148.34
2015,   Western Australia,Total employees,Health care and social assistance,1200,120
2015,   Western Australia,Total employees,Arts and recreation services,1035,103.53
2015,   Western Australia,Total employees,Other services,1206,120.57
2015,   Tasmania,Total employees,"Agriculture, forestry and fishing",912,91.21
2015,   Tasmania,Total employees,Mining,1285,128.47
2015,   Tasmania,Total employees,Manufacturing,1200,120
2015,   Tasmania,Total employees,"Electricity, gas, water and waste services",1500,150
2015,   Tasmania,Total employees,Construction,1100,110
2015,   Tasmania,Total employees,Wholesale trade,998,99.81
2015,   Tasmania,Total employees,Retail trade,850,85
2015,   Tasmania,Total employees,Accommodation and food services,893,89.25
2015,   Tasmania,Total employees,"Transport, postal and warehousing",1100,110
2015,   Tasmania,Total employees,Information Media and telecommunications,1398,139.83
2015,   Tasmania,Total employees,Financial and insurance services,1347,134.72
2015,   Tasmania,Total employees,"Rental, hiring and real estate services",907,90.67
2015,   Tasmania,Total employees,"Professional, scientific and technical services",1353,135.26
2015,   Tasmania,Total employees,Administrative and support services,948,94.75
2015,   Tasmania,Total employees,Public administration and safety,1250,125
2015,   Tasmania,Total employees,Education and training,1453,145.31
2015,   Tasmania,Total employees,Health care and social assistance,1155,115.45
2015,   Tasmania,Total employees,Arts and recreation services,979,97.85
2015,   Tasmania,Total employees,Other services,800,80
2015,   Northern Territory,Total employees,"Agriculture, forestry and fishing",1234,123.38
2015,   Northern Territory,Total employees,Mining,2000,200
2015,   Northern Territory,Total employees,Manufacturing,1378,137.78
2015,   Northern Territory,Total employees,"Electricity, gas, water and waste services",1389,138.87
2015,   Northern Territory,Total employees,Construction,1521,152.08
2015,   Northern Territory,Total employees,Wholesale trade,900,90
2015,   Northern Territory,Total employees,Retail trade,900,90
2015,   Northern Territory,Total employees,Accommodation and food services,1192,119.21
2015,   Northern Territory,Total employees,"Transport, postal and warehousing",1203,120.27
2015,   Northern Territory,Total employees,Information Media and telecommunications,1200,120
2015,   Northern Territory,Total employees,Financial and insurance services,1138,113.82
2015,   Northern Territory,Total employees,"Rental, hiring and real estate services",1029,102.92
2015,   Northern Territory,Total employees,"Professional, scientific and technical services",1349,134.88
2015,   Northern Territory,Total employees,Administrative and support services,1089,108.89
2015,   Northern Territory,Total employees,Public administration and safety,1517,151.69
2015,   Northern Territory,Total employees,Education and training,1345,134.5
2015,   Northern Territory,Total employees,Health care and social assistance,1142,114.19
2015,   Northern Territory,Total employees,Arts and recreation services,1045,104.52
2015,   Northern Territory,Total employees,Other services,1073,107.31
2015,   Australian Capital Territory,Total employees,"Agriculture, forestry and fishing",0,0
2015,   Australian Capital Territory,Total employees,Mining,0,0
2015,   Australian Capital Territory,Total employees,Manufacturing,1206,120.57
2015,   Australian Capital Territory,Total employees,"Electricity, gas, water and waste services",1667,166.66
2015,   Australian Capital Territory,Total employees,Construction,1283,128.27
2015,   Australian Capital Territory,Total employees,Wholesale trade,1750,174.97
2015,   Australian Capital Territory,Total employees,Retail trade,900,90.03
2015,   Australian Capital Territory,Total employees,Accommodation and food services,875,87.5
2015,   Australian Capital Territory,Total employees,"Transport, postal and warehousing",1425,142.46
2015,   Australian Capital Territory,Total employees,Information Media and telecommunications,1641,164.08
2015,   Australian Capital Territory,Total employees,Financial and insurance services,1052,105.24
2015,   Australian Capital Territory,Total employees,"Rental, hiring and real estate services",0,0
2015,   Australian Capital Territory,Total employees,"Professional, scientific and technical services",1763,176.31
2015,   Australian Capital Territory,Total employees,Administrative and support services,1031,103.14
2015,   Australian Capital Territory,Total employees,Public administration and safety,1661,166.07
2015,   Australian Capital Territory,Total employees,Education and training,1511,151.06
2015,   Australian Capital Territory,Total employees,Health care and social assistance,1200,120
2015,   Australian Capital Territory,Total employees,Arts and recreation services,1530,153.02
2015,   Australian Capital Territory,Total employees,Other services,1303,130.32
2016,   New South Wales,Total employees,"Agriculture, forestry and fishing",1008,100.76
2016,   New South Wales,Total employees,Mining,2010,201.04
2016,   New South Wales,Total employees,Manufacturing,1250,125
2016,   New South Wales,Total employees,"Electricity, gas, water and waste services",1350,134.96
2016,   New South Wales,Total employees,Construction,1200,120
2016,   New South Wales,Total employees,Wholesale trade,1298,129.84
2016,   New South Wales,Total employees,Retail trade,946,94.62
2016,   New South Wales,Total employees,Accommodation and food services,1000,100
2016,   New South Wales,Total employees,"Transport, postal and warehousing",1293,129.3
2016,   New South Wales,Total employees,Information Media and telecommunications,1498,149.79
2016,   New South Wales,Total employees,Financial and insurance services,1567,156.67
2016,   New South Wales,Total employees,"Rental, hiring and real estate services",1256,125.55
2016,   New South Wales,Total employees,"Professional, scientific and technical services",1495,149.5
2016,   New South Wales,Total employees,Administrative and support services,1055,105.48
2016,   New South Wales,Total employees,Public administration and safety,1400,140
2016,   New South Wales,Total employees,Education and training,1382,138.17
2016,   New South Wales,Total employees,Health care and social assistance,1200,120
2016,   New South Wales,Total employees,Arts and recreation services,1080,108.03
2016,   New South Wales,Total employees,Other services,1127,112.74
2016,   Victoria,Total employees,"Agriculture, forestry and fishing",1260,126.04
2016,   Victoria,Total employees,Mining,2000,200
2016,   Victoria,Total employees,Manufacturing,1150,115
2016,   Victoria,Total employees,"Electricity, gas, water and waste services",1490,149.01
2016,   Victoria,Total employees,Construction,1200,120
2016,   Victoria,Total employees,Wholesale trade,1200,120
2016,   Victoria,Total employees,Retail trade,1000,100
2016,   Victoria,Total employees,Accommodation and food services,991,99.1
2016,   Victoria,Total employees,"Transport, postal and warehousing",1350,135
2016,   Victoria,Total employees,Information Media and telecommunications,1719,171.9
2016,   Victoria,Total employees,Financial and insurance services,1350,135
2016,   Victoria,Total employees,"Rental, hiring and real estate services",1040,103.99
2016,   Victoria,Total employees,"Professional, scientific and technical services",1495,149.5
2016,   Victoria,Total employees,Administrative and support services,1138,113.82
2016,   Victoria,Total employees,Public administration and safety,1500,150
2016,   Victoria,Total employees,Education and training,1380,137.98
2016,   Victoria,Total employees,Health care and social assistance,1200,120
2016,   Victoria,Total employees,Arts and recreation services,1200,120
2016,   Victoria,Total employees,Other services,1000,100
2016,   Queensland,Total employees,"Agriculture, forestry and fishing",973,97.31
2016,   Queensland,Total employees,Mining,2005,200.53
2016,   Queensland,Total employees,Manufacturing,1100,110
2016,   Queensland,Total employees,"Electricity, gas, water and waste services",1494,149.39
2016,   Queensland,Total employees,Construction,1249,124.91
2016,   Queensland,Total employees,Wholesale trade,1197,119.74
2016,   Queensland,Total employees,Retail trade,957,95.73
2016,   Queensland,Total employees,Accommodation and food services,986,98.6
2016,   Queensland,Total employees,"Transport, postal and warehousing",1300,130
2016,   Queensland,Total employees,Information Media and telecommunications,1204,120.4
2016,   Queensland,Total employees,Financial and insurance services,1258,125.79
2016,   Queensland,Total employees,"Rental, hiring and real estate services",1057,105.74
2016,   Queensland,Total employees,"Professional, scientific and technical services",1333,133.26
2016,   Queensland,Total employees,Administrative and support services,1055,105.52
2016,   Queensland,Total employees,Public administration and safety,1349,134.93
2016,   Queensland,Total employees,Education and training,1401,140.05
2016,   Queensland,Total employees,Health care and social assistance,1116,111.62
2016,   Queensland,Total employees,Arts and recreation services,1005,100.51
2016,   Queensland,Total employees,Other services,1101,110.11
2016,   South Australia,Total employees,"Agriculture, forestry and fishing",1000,100
2016,   South Australia,Total employees,Mining,2174,217.36
2016,   South Australia,Total employees,Manufacturing,1236,123.63
2016,   South Australia,Total employees,"Electricity, gas, water and waste services",1487,148.73
2016,   South Australia,Total employees,Construction,1150,115
2016,   South Australia,Total employees,Wholesale trade,1057,105.73
2016,   South Australia,Total employees,Retail trade,900,90
2016,   South Australia,Total employees,Accommodation and food services,1037,103.71
2016,   South Australia,Total employees,"Transport, postal and warehousing",1211,121.14
2016,   South Australia,Total employees,Information Media and telecommunications,1200,120
2016,   South Australia,Total employees,Financial and insurance services,1223,122.28
2016,   South Australia,Total employees,"Rental, hiring and real estate services",1102,110.2
2016,   South Australia,Total employees,"Professional, scientific and technical services",1281,128.12
2016,   South Australia,Total employees,Administrative and support services,1099,109.94
2016,   South Australia,Total employees,Public administration and safety,1495,149.5
2016,   South Australia,Total employees,Education and training,1472,147.21
2016,   South Australia,Total employees,Health care and social assistance,1119,111.86
2016,   South Australia,Total employees,Arts and recreation services,986,98.61
2016,   South Australia,Total employees,Other services,1013,101.34
2016,   Western Australia,Total employees,"Agriculture, forestry and fishing",1381,138.14
2016,   Western Australia,Total employees,Mining,2114,211.35
2016,   Western Australia,Total employees,Manufacturing,1346,134.62
2016,   Western Australia,Total employees,"Electricity, gas, water and waste services",1728,172.77
2016,   Western Australia,Total employees,Construction,1300,130
2016,   Western Australia,Total employees,Wholesale trade,1333,133.31
2016,   Western Australia,Total employees,Retail trade,1000,100
2016,   Western Australia,Total employees,Accommodation and food services,957,95.74
2016,   Western Australia,Total employees,"Transport, postal and warehousing",1493,149.28
2016,   Western Australia,Total employees,Information Media and telecommunications,1296,129.56
2016,   Western Australia,Total employees,Financial and insurance services,1471,147.1
2016,   Western Australia,Total employees,"Rental, hiring and real estate services",1250,125
2016,   Western Australia,Total employees,"Professional, scientific and technical services",1600,160
2016,   Western Australia,Total employees,Administrative and support services,1166,116.6
2016,   Western Australia,Total employees,Public administration and safety,1412,141.2
2016,   Western Australia,Total employees,Education and training,1535,153.45
2016,   Western Australia,Total employees,Health care and social assistance,1301,130.1
2016,   Western Australia,Total employees,Arts and recreation services,1197,119.68
2016,   Western Australia,Total employees,Other services,1000,100
2016,   Tasmania,Total employees,"Agriculture, forestry and fishing",1000,100
2016,   Tasmania,Total employees,Mining,1682,168.21
2016,   Tasmania,Total employees,Manufacturing,1150,115
2016,   Tasmania,Total employees,"Electricity, gas, water and waste services",1587,158.7
2016,   Tasmania,Total employees,Construction,1052,105.16
2016,   Tasmania,Total employees,Wholesale trade,1136,113.57
2016,   Tasmania,Total employees,Retail trade,900,90
2016,   Tasmania,Total employees,Accommodation and food services,921,92.08
2016,   Tasmania,Total employees,"Transport, postal and warehousing",1283,128.3
2016,   Tasmania,Total employees,Information Media and telecommunications,1347,134.68
2016,   Tasmania,Total employees,Financial and insurance services,1255,125.53
2016,   Tasmania,Total employees,"Rental, hiring and real estate services",994,99.39
2016,   Tasmania,Total employees,"Professional, scientific and technical services",1276,127.61
2016,   Tasmania,Total employees,Administrative and support services,1024,102.44
2016,   Tasmania,Total employees,Public administration and safety,1350,135.04
2016,   Tasmania,Total employees,Education and training,1550,154.95
2016,   Tasmania,Total employees,Health care and social assistance,1246,124.57
2016,   Tasmania,Total employees,Arts and recreation services,977,97.72
2016,   Tasmania,Total employees,Other services,890,88.96
2016,   Northern Territory,Total employees,"Agriculture, forestry and fishing",1440,143.95
2016,   Northern Territory,Total employees,Mining,2254,225.36
2016,   Northern Territory,Total employees,Manufacturing,1409,140.85
2016,   Northern Territory,Total employees,"Electricity, gas, water and waste services",1424,142.41
2016,   Northern Territory,Total employees,Construction,1606,160.55
2016,   Northern Territory,Total employees,Wholesale trade,1370,137.03
2016,   Northern Territory,Total employees,Retail trade,1000,100
2016,   Northern Territory,Total employees,Accommodation and food services,1000,100
2016,   Northern Territory,Total employees,"Transport, postal and warehousing",1287,128.74
2016,   Northern Territory,Total employees,Information Media and telecommunications,1198,119.81
2016,   Northern Territory,Total employees,Financial and insurance services,1208,120.75
2016,   Northern Territory,Total employees,"Rental, hiring and real estate services",1223,122.25
2016,   Northern Territory,Total employees,"Professional, scientific and technical services",1700,170
2016,   Northern Territory,Total employees,Administrative and support services,1557,155.69
2016,   Northern Territory,Total employees,Public administration and safety,1500,150
2016,   Northern Territory,Total employees,Education and training,1350,135.01
2016,   Northern Territory,Total employees,Health care and social assistance,1250,125
2016,   Northern Territory,Total employees,Arts and recreation services,1167,116.66
2016,   Northern Territory,Total employees,Other services,1200,120
2016,   Australian Capital Territory,Total employees,"Agriculture, forestry and fishing",0,0
2016,   Australian Capital Territory,Total employees,Mining,0,0
2016,   Australian Capital Territory,Total employees,Manufacturing,1296,129.59
2016,   Australian Capital Territory,Total employees,"Electricity, gas, water and waste services",1709,170.89
2016,   Australian Capital Territory,Total employees,Construction,1487,148.67
2016,   Australian Capital Territory,Total employees,Wholesale trade,1459,145.93
2016,   Australian Capital Territory,Total employees,Retail trade,897,89.66
2016,   Australian Capital Territory,Total employees,Accommodation and food services,1074,107.38
2016,   Australian Capital Territory,Total employees,"Transport, postal and warehousing",1374,137.39
2016,   Australian Capital Territory,Total employees,Information Media and telecommunications,1388,138.76
2016,   Australian Capital Territory,Total employees,Financial and insurance services,1273,127.3
2016,   Australian Capital Territory,Total employees,"Rental, hiring and real estate services",0,0
2016,   Australian Capital Territory,Total employees,"Professional, scientific and technical services",1603,160.26
2016,   Australian Capital Territory,Total employees,Administrative and support services,999,99.87
2016,   Australian Capital Territory,Total employees,Public administration and safety,1643,164.31
2016,   Australian Capital Territory,Total employees,Education and training,1387,138.66
2016,   Australian Capital Territory,Total employees,Health care and social assistance,1400,140
2016,   Australian Capital Territory,Total employees,Arts and recreation services,1251,125.06
