Month,Labour.force.status...previous.month,Labour.force.status.current.month,Persons.current.month..000.
Apr-24,Employed part-time,Not in the labour force (NILF),201.4
Apr-24,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Apr-24,Unemployed,Employed full-time,36.5
Apr-24,Unemployed,Employed part-time,62.2
Apr-24,Unemployed,Unemployed,279.3
Apr-24,Unemployed,Not in the labour force (NILF),101.7
Apr-24,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Apr-24,Not in the labour force (NILF),Employed full-time,112.2
Apr-24,Not in the labour force (NILF),Employed part-time,166.5
Apr-24,Not in the labour force (NILF),Unemployed,121.2
Apr-24,Not in the labour force (NILF),Not in the labour force (NILF),5350.5
Apr-24,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Apr-24,Unmatched in common sample (responded in current month but not in previous),Employed full-time,800.8
Apr-24,Unmatched in common sample (responded in current month but not in previous),Employed part-time,350.5
Apr-24,Unmatched in common sample (responded in current month but not in previous),Unemployed,58.6
Apr-24,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),760.2
Apr-24,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Apr-24,Incoming rotation group,Employed full-time,1166.9
Apr-24,Incoming rotation group,Employed part-time,528.5
Apr-24,Incoming rotation group,Unemployed,88.4
Apr-24,Incoming rotation group,Not in the labour force (NILF),868.1
Apr-24,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Mar-24,Employed full-time,Employed full-time,7245.5
Mar-24,Employed full-time,Employed part-time,413.9
Mar-24,Employed full-time,Unemployed,35.4
Mar-24,Employed full-time,Not in the labour force (NILF),145
Mar-24,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Mar-24,Employed part-time,Employed full-time,371.5
Mar-24,Employed part-time,Employed part-time,2876.7
Mar-24,Employed part-time,Unemployed,41.1
Mar-24,Employed part-time,Not in the labour force (NILF),184
Mar-24,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Mar-24,Unemployed,Employed full-time,46.5
Mar-24,Unemployed,Employed part-time,72.1
Mar-24,Unemployed,Unemployed,243.3
Mar-24,Unemployed,Not in the labour force (NILF),107.3
Mar-24,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Mar-24,Not in the labour force (NILF),Employed full-time,83.9
Mar-24,Not in the labour force (NILF),Employed part-time,150.7
Mar-24,Not in the labour force (NILF),Unemployed,140.4
Mar-24,Not in the labour force (NILF),Not in the labour force (NILF),5197.5
Mar-24,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Mar-24,Unmatched in common sample (responded in current month but not in previous),Employed full-time,908.5
Mar-24,Unmatched in common sample (responded in current month but not in previous),Employed part-time,395.4
Mar-24,Unmatched in common sample (responded in current month but not in previous),Unemployed,72.7
Mar-24,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),867.4
Mar-24,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Mar-24,Incoming rotation group,Employed full-time,1181
Mar-24,Incoming rotation group,Employed part-time,526.7
Mar-24,Incoming rotation group,Unemployed,81.6
Mar-24,Incoming rotation group,Not in the labour force (NILF),878.6
Mar-24,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Feb-24,Employed full-time,Employed full-time,6880.6
Feb-24,Employed full-time,Employed part-time,394.1
Feb-24,Employed full-time,Unemployed,30.9
Feb-24,Employed full-time,Not in the labour force (NILF),99.6
Feb-24,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Feb-24,Employed part-time,Employed full-time,463.3
Feb-24,Employed part-time,Employed part-time,2641.3
Feb-24,Employed part-time,Unemployed,43.5
Feb-24,Employed part-time,Not in the labour force (NILF),154.2
Feb-24,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Feb-24,Unemployed,Employed full-time,73.5
Feb-24,Unemployed,Employed part-time,85.8
Feb-24,Unemployed,Unemployed,227.8
Feb-24,Unemployed,Not in the labour force (NILF),113.2
Feb-24,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Feb-24,Not in the labour force (NILF),Employed full-time,227.1
Feb-24,Not in the labour force (NILF),Employed part-time,289.2
Feb-24,Not in the labour force (NILF),Unemployed,135.4
Feb-24,Not in the labour force (NILF),Not in the labour force (NILF),5161.3
Feb-24,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Feb-24,Unmatched in common sample (responded in current month but not in previous),Employed full-time,1031.8
Feb-24,Unmatched in common sample (responded in current month but not in previous),Employed part-time,442.3
Feb-24,Unmatched in common sample (responded in current month but not in previous),Unemployed,83.3
Feb-24,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),891
Feb-24,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Feb-24,Incoming rotation group,Employed full-time,1264.8
Feb-24,Incoming rotation group,Employed part-time,545.7
Feb-24,Incoming rotation group,Unemployed,83.9
Feb-24,Incoming rotation group,Not in the labour force (NILF),851.6
Feb-24,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Jan-24,Employed full-time,Employed full-time,6819.5
Jan-24,Employed full-time,Employed part-time,402.1
Jan-24,Employed full-time,Unemployed,50.5
Jan-24,Employed full-time,Not in the labour force (NILF),239.3
Jan-24,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Jan-24,Employed full-time,Outgoing Rotation Group,0
Jan-24,Employed part-time,Employed full-time,340.9
Jan-24,Employed part-time,Employed part-time,2671.8
Jan-24,Employed part-time,Unemployed,62.2
Jan-24,Employed part-time,Not in the labour force (NILF),280
Jan-24,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Jan-24,Employed part-time,Outgoing Rotation Group,0
Jan-24,Unemployed,Employed full-time,32.4
Jan-24,Unemployed,Employed part-time,41.8
Jan-24,Unemployed,Unemployed,246.6
Jan-24,Unemployed,Not in the labour force (NILF),108.9
Jan-24,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Jan-24,Unemployed,Outgoing Rotation Group,0
Jan-24,Not in the labour force (NILF),Employed full-time,106.7
Jan-24,Not in the labour force (NILF),Employed part-time,140.2
Jan-24,Not in the labour force (NILF),Unemployed,106
Jan-24,Not in the labour force (NILF),Not in the labour force (NILF),5094.3
Jan-24,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Jan-24,Not in the labour force (NILF),Outgoing Rotation Group,0
Jan-24,Unmatched in common sample (responded in current month but not in previous),Employed full-time,1141.1
Jan-24,Unmatched in common sample (responded in current month but not in previous),Employed part-time,469.3
Jan-24,Unmatched in common sample (responded in current month but not in previous),Unemployed,102.1
Jan-24,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),959.7
Jan-24,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Jan-24,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Jan-24,Incoming rotation group,Employed full-time,1192.4
Jan-24,Incoming rotation group,Employed part-time,550.2
Jan-24,Incoming rotation group,Unemployed,86.9
Jan-24,Incoming rotation group,Not in the labour force (NILF),918.4
Jan-24,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Jan-24,Incoming rotation group,Outgoing Rotation Group,0
Dec-23,Employed full-time,Employed full-time,7249.8
Dec-23,Employed full-time,Employed part-time,337.4
Dec-23,Employed full-time,Unemployed,28
Dec-23,Employed full-time,Not in the labour force (NILF),134.8
Dec-23,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Dec-23,Employed full-time,Outgoing Rotation Group,0
Dec-23,Employed part-time,Employed full-time,401.8
Dec-23,Employed part-time,Employed part-time,2888.9
Dec-23,Employed part-time,Unemployed,35.6
Dec-23,Employed part-time,Not in the labour force (NILF),158.8
Dec-23,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Dec-23,Employed part-time,Outgoing Rotation Group,0
Dec-23,Unemployed,Employed full-time,33.3
Dec-23,Unemployed,Employed part-time,65.4
Dec-23,Unemployed,Unemployed,230
Dec-23,Unemployed,Not in the labour force (NILF),85.2
Dec-23,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Dec-23,Unemployed,Outgoing Rotation Group,0
Dec-23,Not in the labour force (NILF),Employed full-time,88.2
Dec-23,Not in the labour force (NILF),Employed part-time,166.3
Dec-23,Not in the labour force (NILF),Unemployed,134.4
Dec-23,Not in the labour force (NILF),Not in the labour force (NILF),5229.2
Dec-23,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Dec-23,Not in the labour force (NILF),Outgoing Rotation Group,0
Dec-23,Unmatched in common sample (responded in current month but not in previous),Employed full-time,908.4
Dec-23,Unmatched in common sample (responded in current month but not in previous),Employed part-time,401.6
Dec-23,Unmatched in common sample (responded in current month but not in previous),Unemployed,62.8
Dec-23,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),831.8
Dec-23,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Dec-23,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Dec-23,Incoming rotation group,Employed full-time,1201.4
Dec-23,Incoming rotation group,Employed part-time,538.3
Dec-23,Incoming rotation group,Unemployed,70.4
Dec-23,Incoming rotation group,Not in the labour force (NILF),829.8
Dec-23,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Dec-23,Incoming rotation group,Outgoing Rotation Group,0
Nov-23,Employed full-time,Employed full-time,7239.1
Nov-23,Employed full-time,Employed part-time,333.2
Nov-23,Employed full-time,Unemployed,34.2
Nov-23,Employed full-time,Not in the labour force (NILF),101.1
Nov-23,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Nov-23,Employed full-time,Outgoing Rotation Group,0
Nov-23,Employed part-time,Employed full-time,389.1
Nov-23,Employed part-time,Employed part-time,2935.7
Nov-23,Employed part-time,Unemployed,31.6
Nov-23,Employed part-time,Not in the labour force (NILF),148.2
Nov-23,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Nov-23,Employed part-time,Outgoing Rotation Group,0
Nov-23,Unemployed,Employed full-time,45.7
Nov-23,Unemployed,Employed part-time,62.3
Nov-23,Unemployed,Unemployed,231.1
Nov-23,Unemployed,Not in the labour force (NILF),93.4
Nov-23,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Nov-23,Unemployed,Outgoing Rotation Group,0
Nov-23,Not in the labour force (NILF),Employed full-time,123.5
Nov-23,Not in the labour force (NILF),Employed part-time,171.5
Nov-23,Not in the labour force (NILF),Unemployed,113.7
Nov-23,Not in the labour force (NILF),Not in the labour force (NILF),5308.9
Nov-23,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Nov-23,Not in the labour force (NILF),Outgoing Rotation Group,0
Nov-23,Unmatched in common sample (responded in current month but not in previous),Employed full-time,822.1
Nov-23,Unmatched in common sample (responded in current month but not in previous),Employed part-time,355.7
Nov-23,Unmatched in common sample (responded in current month but not in previous),Unemployed,55.7
Nov-23,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),794.5
Nov-23,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Nov-23,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Nov-23,Incoming rotation group,Employed full-time,1258.7
Nov-23,Incoming rotation group,Employed part-time,531.8
Nov-23,Incoming rotation group,Unemployed,71.7
Nov-23,Incoming rotation group,Not in the labour force (NILF),815.6
Nov-23,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Nov-23,Incoming rotation group,Outgoing Rotation Group,0
Oct-23,Employed full-time,Employed full-time,7090.9
Oct-23,Employed full-time,Employed part-time,336.1
Oct-23,Employed full-time,Unemployed,28.8
Oct-23,Employed full-time,Not in the labour force (NILF),119.7
Oct-23,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Oct-23,Employed full-time,Outgoing Rotation Group,0
Oct-23,Employed part-time,Employed full-time,335.6
Oct-23,Employed part-time,Employed part-time,2887.2
Oct-23,Employed part-time,Unemployed,36.2
Oct-23,Employed part-time,Not in the labour force (NILF),170.8
Oct-23,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Oct-23,Employed part-time,Outgoing Rotation Group,0
Oct-23,Unemployed,Employed full-time,40
Oct-23,Unemployed,Employed part-time,52.1
Oct-23,Unemployed,Unemployed,203.5
Oct-23,Unemployed,Not in the labour force (NILF),93.3
Oct-23,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Oct-23,Unemployed,Outgoing Rotation Group,0
Oct-23,Not in the labour force (NILF),Employed full-time,118.6
Oct-23,Not in the labour force (NILF),Employed part-time,171.7
Oct-23,Not in the labour force (NILF),Unemployed,111.3
Oct-23,Not in the labour force (NILF),Not in the labour force (NILF),5301.6
Oct-23,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Oct-23,Not in the labour force (NILF),Outgoing Rotation Group,0
Oct-23,Unmatched in common sample (responded in current month but not in previous),Employed full-time,937
Oct-23,Unmatched in common sample (responded in current month but not in previous),Employed part-time,394.1
Oct-23,Unmatched in common sample (responded in current month but not in previous),Unemployed,74.5
Oct-23,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),821.6
Oct-23,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Oct-23,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Oct-23,Incoming rotation group,Employed full-time,1222.2
Oct-23,Incoming rotation group,Employed part-time,552.5
Oct-23,Incoming rotation group,Unemployed,78.6
Oct-23,Incoming rotation group,Not in the labour force (NILF),846.9
Oct-23,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Oct-23,Incoming rotation group,Outgoing Rotation Group,0
Sep-23,Employed full-time,Employed full-time,6999.9
Sep-23,Employed full-time,Employed part-time,349
Sep-23,Employed full-time,Unemployed,30.5
Sep-23,Employed full-time,Not in the labour force (NILF),139.3
Sep-23,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Sep-23,Employed full-time,Outgoing Rotation Group,0
Sep-23,Employed part-time,Employed full-time,365.6
Sep-23,Employed part-time,Employed part-time,2780.7
Sep-23,Employed part-time,Unemployed,26.7
Sep-23,Employed part-time,Not in the labour force (NILF),162
Sep-23,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Sep-23,Employed part-time,Outgoing Rotation Group,0
Sep-23,Unemployed,Employed full-time,49.4
Sep-23,Unemployed,Employed part-time,65.4
Sep-23,Unemployed,Unemployed,187.5
Sep-23,Unemployed,Not in the labour force (NILF),102
Sep-23,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Sep-23,Unemployed,Outgoing Rotation Group,0
Sep-23,Not in the labour force (NILF),Employed full-time,102.3
Sep-23,Not in the labour force (NILF),Employed part-time,170.3
Sep-23,Not in the labour force (NILF),Unemployed,111.5
Sep-23,Not in the labour force (NILF),Not in the labour force (NILF),5225.7
Sep-23,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Sep-23,Not in the labour force (NILF),Outgoing Rotation Group,0
Sep-23,Unmatched in common sample (responded in current month but not in previous),Employed full-time,1027.1
Sep-23,Unmatched in common sample (responded in current month but not in previous),Employed part-time,433.9
Sep-23,Unmatched in common sample (responded in current month but not in previous),Unemployed,71.5
Sep-23,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),915.9
Sep-23,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Sep-23,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Sep-23,Incoming rotation group,Employed full-time,1171.7
Sep-23,Incoming rotation group,Employed part-time,542.8
Sep-23,Incoming rotation group,Unemployed,74.9
Sep-23,Incoming rotation group,Not in the labour force (NILF),875.6
Sep-23,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Sep-23,Incoming rotation group,Outgoing Rotation Group,0
Aug-23,Employed full-time,Employed full-time,7370.3
Aug-23,Employed full-time,Employed part-time,386.9
Aug-23,Employed full-time,Unemployed,42.3
Aug-23,Employed full-time,Not in the labour force (NILF),111.9
Aug-23,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Aug-23,Employed full-time,Outgoing Rotation Group,0
Aug-23,Employed part-time,Employed full-time,345.3
Aug-23,Employed part-time,Employed part-time,2805.3
Aug-23,Employed part-time,Unemployed,44.7
Aug-23,Employed part-time,Not in the labour force (NILF),171
Aug-23,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Aug-23,Employed part-time,Outgoing Rotation Group,0
Aug-23,Unemployed,Employed full-time,46.7
Aug-23,Unemployed,Employed part-time,54.6
Aug-23,Unemployed,Unemployed,226.3
Aug-23,Unemployed,Not in the labour force (NILF),100.2
Aug-23,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Aug-23,Unemployed,Outgoing Rotation Group,0
Aug-23,Not in the labour force (NILF),Employed full-time,128.1
Aug-23,Not in the labour force (NILF),Employed part-time,178.1
Aug-23,Not in the labour force (NILF),Unemployed,94.3
Aug-23,Not in the labour force (NILF),Not in the labour force (NILF),5374.1
Aug-23,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Aug-23,Not in the labour force (NILF),Outgoing Rotation Group,0
Aug-23,Unmatched in common sample (responded in current month but not in previous),Employed full-time,795.5
Aug-23,Unmatched in common sample (responded in current month but not in previous),Employed part-time,337.8
Aug-23,Unmatched in common sample (responded in current month but not in previous),Unemployed,58.3
Aug-23,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),766.5
Aug-23,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Aug-23,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Aug-23,Incoming rotation group,Employed full-time,1052.2
Aug-23,Incoming rotation group,Employed part-time,521.3
Aug-23,Incoming rotation group,Unemployed,72.6
Aug-23,Incoming rotation group,Not in the labour force (NILF),840.7
Aug-23,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Aug-23,Incoming rotation group,Outgoing Rotation Group,0
Jul-23,Employed full-time,Employed full-time,7238.2
Jul-23,Employed full-time,Employed part-time,359
Jul-23,Employed full-time,Unemployed,32.8
Jul-23,Employed full-time,Not in the labour force (NILF),139.2
Jul-23,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Jul-23,Employed full-time,Outgoing Rotation Group,0
Jul-23,Employed part-time,Employed full-time,395
Jul-23,Employed part-time,Employed part-time,2724
Jul-23,Employed part-time,Unemployed,34.5
Jul-23,Employed part-time,Not in the labour force (NILF),191.7
Jul-23,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Jul-23,Employed part-time,Outgoing Rotation Group,0
Jul-23,Unemployed,Employed full-time,38.3
Jul-23,Unemployed,Employed part-time,46
Jul-23,Unemployed,Unemployed,216.3
Jul-23,Unemployed,Not in the labour force (NILF),90.6
Jul-23,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Jul-23,Unemployed,Outgoing Rotation Group,0
Jul-23,Not in the labour force (NILF),Employed full-time,132.5
Jul-23,Not in the labour force (NILF),Employed part-time,172.6
Jul-23,Not in the labour force (NILF),Unemployed,104.1
Jul-23,Not in the labour force (NILF),Not in the labour force (NILF),5221.8
Jul-23,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Jul-23,Not in the labour force (NILF),Outgoing Rotation Group,0
Jul-23,Unmatched in common sample (responded in current month but not in previous),Employed full-time,866.5
Jul-23,Unmatched in common sample (responded in current month but not in previous),Employed part-time,346.4
Jul-23,Unmatched in common sample (responded in current month but not in previous),Unemployed,67.2
Jul-23,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),781.2
Jul-23,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Jul-23,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Jul-23,Incoming rotation group,Employed full-time,1172.6
Jul-23,Incoming rotation group,Employed part-time,529
