Year,Gender,Age_Group,Employ_Status,Average_Employed
1978,Female,60-64 years,Not in the labour force  (NILF) ,265.9418866
1978,Female,60-64 years,Unemployed,0.442355364
1978,Female,15-24 years,Employed full time,548.1069954
1978,Female,15-24 years,Employed part time,129.0848587
1978,Female,15-24 years,Not in the labour force  (NILF) ,449.4849657
1978,Female,15-24 years,Unemployed,107.3570873
1978,Female,25-34 years,Employed full time,331.3404174
1978,Female,25-34 years,Employed part time,207.4599999
1978,Female,25-34 years,Not in the labour force  (NILF) ,552.2986123
1978,Female,25-34 years,Unemployed,37.85644097
1978,Female,35-44 years,Employed full time,242.3292868
1978,Female,35-44 years,Employed part time,193.9708173
1978,Female,35-44 years,Not in the labour force  (NILF) ,350.6447733
1978,Female,35-44 years,Unemployed,21.19711754
1978,Female,45-54 years,Employed full time,208.3686595
1978,Female,45-54 years,Employed part time,130.4542518
1978,Female,45-54 years,Not in the labour force  (NILF) ,399.3775815
1978,Female,45-54 years,Unemployed,13.77369107
1978,Female,55-64 years,Employed full time,82.52338717
1978,Female,55-64 years,Employed part time,59.86864298
1978,Female,55-64 years,Not in the labour force  (NILF) ,512.6689208
1978,Female,55-64 years,Unemployed,3.906742455
1978,Female,65 years and over,Employed full time,8.735128918
1978,Female,65 years and over,Employed part time,12.90185244
1978,Female,65 years and over,Not in the labour force  (NILF) ,748.9995348
1978,Female,65 years and over,Unemployed,0.256017909
1979,Female,15-19 years,Employed full time,222.5833548
1979,Female,15-19 years,Employed part time,75.3451134
1979,Female,15-19 years,Not in the labour force  (NILF) ,264.6744068
1979,Female,15-19 years,Unemployed,77.31129683
1979,Female,20-24 years,Employed full time,326.3748889
1979,Female,20-24 years,Employed part time,57.89623894
1979,Female,20-24 years,Not in the labour force  (NILF) ,187.1677834
1979,Female,20-24 years,Unemployed,38.45134893
1979,Female,25-29 years,Employed full time,198.6935004
1979,Female,25-29 years,Employed part time,87.73020823
1979,Female,25-29 years,Not in the labour force  (NILF) ,283.9349291
1979,Female,25-29 years,Unemployed,21.50652645
1979,Female,30-34 years,Employed full time,140.7789337
1979,Female,30-34 years,Employed part time,121.5054322
1979,Female,30-34 years,Not in the labour force  (NILF) ,281.7888178
1979,Female,30-34 years,Unemployed,18.59364053
1979,Female,35-39 years,Employed full time,127.2826657
1979,Female,35-39 years,Employed part time,108.1715138
1979,Female,35-39 years,Not in the labour force  (NILF) ,197.9373056
1979,Female,35-39 years,Unemployed,12.26559137
1979,Female,40-44 years,Employed full time,124.807567
1979,Female,40-44 years,Employed part time,94.39760059
1979,Female,40-44 years,Not in the labour force  (NILF) ,158.66187
1979,Female,40-44 years,Unemployed,8.842626325
1979,Female,45-49 years,Employed full time,107.5692198
1979,Female,45-49 years,Employed part time,72.74646989
1979,Female,45-49 years,Not in the labour force  (NILF) ,175.5622406
1979,Female,45-49 years,Unemployed,8.397912117
1979,Female,50-54 years,Employed full time,94.10658214
1979,Female,50-54 years,Employed part time,62.7113075
1979,Female,50-54 years,Not in the labour force  (NILF) ,218.5925936
1979,Female,50-54 years,Unemployed,5.265000975
1979,Female,55-59 years,Employed full time,56.74210975
1979,Female,55-59 years,Employed part time,41.560603
1979,Female,55-59 years,Not in the labour force  (NILF) ,262.5203448
1979,Female,55-59 years,Unemployed,2.943775367
1979,Female,60-64 years,Employed full time,21.73674804
1979,Female,60-64 years,Employed part time,16.54948561
1979,Female,60-64 years,Not in the labour force  (NILF) ,265.7073647
1979,Female,60-64 years,Unemployed,0.559036017
1979,Female,15-24 years,Employed full time,548.9582437
1979,Female,15-24 years,Employed part time,133.2413523
1979,Female,15-24 years,Not in the labour force  (NILF) ,451.8421901
1979,Female,15-24 years,Unemployed,115.7626458
1979,Female,25-34 years,Employed full time,339.472434
1979,Female,25-34 years,Employed part time,209.2356404
1979,Female,25-34 years,Not in the labour force  (NILF) ,565.7237469
1979,Female,25-34 years,Unemployed,40.10016698
1979,Female,35-44 years,Employed full time,252.0902327
1979,Female,35-44 years,Employed part time,202.5691144
1979,Female,35-44 years,Not in the labour force  (NILF) ,356.5991756
1979,Female,35-44 years,Unemployed,21.10821769
1979,Female,45-54 years,Employed full time,201.675802
1979,Female,45-54 years,Employed part time,135.4577774
1979,Female,45-54 years,Not in the labour force  (NILF) ,394.1548341
1979,Female,45-54 years,Unemployed,13.66291309
1979,Female,55-64 years,Employed full time,78.47885779
1979,Female,55-64 years,Employed part time,58.11008861
1979,Female,55-64 years,Not in the labour force  (NILF) ,528.2277095
1979,Female,55-64 years,Unemployed,3.502811383
1979,Female,65 years and over,Employed full time,7.831246042
1979,Female,65 years and over,Employed part time,11.13172335
1979,Female,65 years and over,Not in the labour force  (NILF) ,774.5820323
1979,Female,65 years and over,Unemployed,0.185411608
1980,Female,15-19 years,Employed full time,233.3327362
1980,Female,15-19 years,Employed part time,84.38477344
1980,Female,15-19 years,Not in the labour force  (NILF) ,245.8660694
1980,Female,15-19 years,Unemployed,74.83117703
1980,Female,20-24 years,Employed full time,334.9161116
1980,Female,20-24 years,Employed part time,66.72679613
1980,Female,20-24 years,Not in the labour force  (NILF) ,181.3310637
1980,Female,20-24 years,Unemployed,41.60744584
1980,Female,25-29 years,Employed full time,212.3197692
1980,Female,25-29 years,Employed part time,88.6291024
1980,Female,25-29 years,Not in the labour force  (NILF) ,277.6902137
1980,Female,25-29 years,Unemployed,21.12458939
1980,Female,30-34 years,Employed full time,150.6799244
1980,Female,30-34 years,Employed part time,127.3764829
1980,Female,30-34 years,Not in the labour force  (NILF) ,284.6068903
1980,Female,30-34 years,Unemployed,19.7111243
1980,Female,35-39 years,Employed full time,136.8934304
1980,Female,35-39 years,Employed part time,118.8084131
1980,Female,35-39 years,Not in the labour force  (NILF) ,199.8358432
1980,Female,35-39 years,Unemployed,11.0445706
1980,Female,40-44 years,Employed full time,130.8762857
1980,Female,40-44 years,Employed part time,95.12630031
1980,Female,40-44 years,Not in the labour force  (NILF) ,160.4546203
1980,Female,40-44 years,Unemployed,9.263043608
1980,Female,45-49 years,Employed full time,111.9108562
1980,Female,45-49 years,Employed part time,71.17357343
1980,Female,45-49 years,Not in the labour force  (NILF) ,169.1020497
1980,Female,45-49 years,Unemployed,8.297850267
1980,Female,50-54 years,Employed full time,92.58911762
1980,Female,50-54 years,Employed part time,63.50296393
1980,Female,50-54 years,Not in the labour force  (NILF) ,217.0701039
1980,Female,50-54 years,Unemployed,5.045226333
1980,Female,55-59 years,Employed full time,61.52036063
1980,Female,55-59 years,Employed part time,42.27129716
1980,Female,55-59 years,Not in the labour force  (NILF) ,263.4187379
1980,Female,55-59 years,Unemployed,3.280601842
1980,Female,60-64 years,Employed full time,21.40920533
1980,Female,60-64 years,Employed part time,19.21690476
1980,Female,60-64 years,Not in the labour force  (NILF) ,268.01896
1980,Female,60-64 years,Unemployed,0.6911836
1980,Female,15-24 years,Employed full time,568.2488478
1980,Female,15-24 years,Employed part time,151.1115696
1980,Female,15-24 years,Not in the labour force  (NILF) ,427.1971332
1980,Female,15-24 years,Unemployed,116.4386229
1980,Female,25-34 years,Employed full time,362.9996936
1980,Female,25-34 years,Employed part time,216.0055853
1980,Female,25-34 years,Not in the labour force  (NILF) ,562.2971041
1980,Female,25-34 years,Unemployed,40.83571369
1980,Female,35-44 years,Employed full time,267.769716
1980,Female,35-44 years,Employed part time,213.9347135
1980,Female,35-44 years,Not in the labour force  (NILF) ,360.2904635
1980,Female,35-44 years,Unemployed,20.30761421
1980,Female,45-54 years,Employed full time,204.4999738
1980,Female,45-54 years,Employed part time,134.6765374
1980,Female,45-54 years,Not in the labour force  (NILF) ,386.1721536
1980,Female,45-54 years,Unemployed,13.3430766
1980,Female,55-64 years,Employed full time,82.92956596
1980,Female,55-64 years,Employed part time,61.48820192
1980,Female,55-64 years,Not in the labour force  (NILF) ,531.4376978
1980,Female,55-64 years,Unemployed,3.971785442
1980,Female,65 years and over,Employed full time,9.07102475
1980,Female,65 years and over,Employed part time,13.78647333
1980,Female,65 years and over,Not in the labour force  (NILF) ,794.5743618
1980,Female,65 years and over,Unemployed,0.240640575
1981,Female,15-19 years,Employed full time,227.0734956
1981,Female,15-19 years,Employed part time,88.83586508
1981,Female,15-19 years,Not in the labour force  (NILF) ,251.002878
1981,Female,15-19 years,Unemployed,68.67401437
1981,Female,20-24 years,Employed full time,344.0059497
1981,Female,20-24 years,Employed part time,68.41040572
1981,Female,20-24 years,Not in the labour force  (NILF) ,189.2765734
1981,Female,20-24 years,Unemployed,39.47807263
1981,Female,25-29 years,Employed full time,220.2221256
1981,Female,25-29 years,Employed part time,92.48624018
1981,Female,25-29 years,Not in the labour force  (NILF) ,274.2676708
1981,Female,25-29 years,Unemployed,21.93312496
1981,Female,30-34 years,Employed full time,163.9200209
1981,Female,30-34 years,Employed part time,126.2271085
1981,Female,30-34 years,Not in the labour force  (NILF) ,294.0394819
1981,Female,30-34 years,Unemployed,18.62864118
1981,Female,35-39 years,Employed full time,139.7127778
1981,Female,35-39 years,Employed part time,124.7136489
1981,Female,35-39 years,Not in the labour force  (NILF) ,211.7541367
1981,Female,35-39 years,Unemployed,13.70794588
1981,Female,40-44 years,Employed full time,133.253064
1981,Female,40-44 years,Employed part time,101.0439332
1981,Female,40-44 years,Not in the labour force  (NILF) ,163.7432606
1981,Female,40-44 years,Unemployed,9.885004158
1981,Female,45-49 years,Employed full time,110.9213932
1981,Female,45-49 years,Employed part time,76.69114414
1981,Female,45-49 years,Not in the labour force  (NILF) ,163.2843088
1981,Female,45-49 years,Unemployed,7.730906733
1981,Female,50-54 years,Employed full time,91.8283138
1981,Female,50-54 years,Employed part time,69.35148315
1981,Female,50-54 years,Not in the labour force  (NILF) ,212.5131748
1981,Female,50-54 years,Unemployed,4.50836
1981,Female,55-59 years,Employed full time,63.31090713
1981,Female,55-59 years,Employed part time,43.84172255
1981,Female,55-59 years,Not in the labour force  (NILF) ,261.4161492
1981,Female,55-59 years,Unemployed,2.488972025
1981,Female,60-64 years,Employed full time,19.33382045
1981,Female,60-64 years,Employed part time,17.18592234
1981,Female,60-64 years,Not in the labour force  (NILF) ,284.1524724
1981,Female,60-64 years,Unemployed,0.683702425
1981,Female,15-24 years,Employed full time,571.0794453
1981,Female,15-24 years,Employed part time,157.2462708
1981,Female,15-24 years,Not in the labour force  (NILF) ,440.2794514
1981,Female,15-24 years,Unemployed,108.152087
1981,Female,25-34 years,Employed full time,384.1421465
1981,Female,25-34 years,Employed part time,218.7133487
1981,Female,25-34 years,Not in the labour force  (NILF) ,568.3071527
1981,Female,25-34 years,Unemployed,40.56176614
1981,Female,35-44 years,Employed full time,272.9658418
1981,Female,35-44 years,Employed part time,225.7575821
1981,Female,35-44 years,Not in the labour force  (NILF) ,375.4973973
1981,Female,35-44 years,Unemployed,23.59295003
1981,Female,45-54 years,Employed full time,202.749707
1981,Female,45-54 years,Employed part time,146.0426273
1981,Female,45-54 years,Not in the labour force  (NILF) ,375.7974836
1981,Female,45-54 years,Unemployed,12.23926673
1981,Female,55-64 years,Employed full time,82.64472758
1981,Female,55-64 years,Employed part time,61.02764489
1981,Female,55-64 years,Not in the labour force  (NILF) ,545.5686216
1981,Female,55-64 years,Unemployed,3.17267445
1981,Female,65 years and over,Employed full time,8.5754825
1981,Female,65 years and over,Employed part time,12.43491749
1981,Female,65 years and over,Not in the labour force  (NILF) ,820.4270284
1981,Female,65 years and over,Unemployed,0.375496058
1982,Female,15-19 years,Employed full time,210.7308333
1982,Female,15-19 years,Employed part time,90.72890752
1982,Female,15-19 years,Not in the labour force  (NILF) ,254.8190392
1982,Female,15-19 years,Unemployed,74.99130233
1982,Female,20-24 years,Employed full time,347.5036397
1982,Female,20-24 years,Employed part time,69.31094586
1982,Female,20-24 years,Not in the labour force  (NILF) ,190.299486
1982,Female,20-24 years,Unemployed,47.16967883
1982,Female,25-29 years,Employed full time,224.156221
1982,Female,25-29 years,Employed part time,91.76891846
1982,Female,25-29 years,Not in the labour force  (NILF) ,278.7073057
1982,Female,25-29 years,Unemployed,26.23711813
1982,Female,30-34 years,Employed full time,165.340336
1982,Female,30-34 years,Employed part time,125.9894363
1982,Female,30-34 years,Not in the labour force  (NILF) ,293.9145721
1982,Female,30-34 years,Unemployed,22.46406548
1982,Female,35-39 years,Employed full time,149.1346235
1982,Female,35-39 years,Employed part time,134.0092386
1982,Female,35-39 years,Not in the labour force  (NILF) ,228.2186963
1982,Female,35-39 years,Unemployed,16.4573562
1982,Female,40-44 years,Employed full time,137.4664402
1982,Female,40-44 years,Employed part time,106.3728538
1982,Female,40-44 years,Not in the labour force  (NILF) ,166.8377809
1982,Female,40-44 years,Unemployed,12.83451265
1982,Female,45-49 years,Employed full time,110.216297
1982,Female,45-49 years,Employed part time,78.89877892
1982,Female,45-49 years,Not in the labour force  (NILF) ,164.9703257
1982,Female,45-49 years,Unemployed,9.696117225
1982,Female,50-54 years,Employed full time,92.51579603
1982,Female,50-54 years,Employed part time,66.23117023
1982,Female,50-54 years,Not in the labour force  (NILF) ,209.2066489
1982,Female,50-54 years,Unemployed,5.698050683
1982,Female,55-59 years,Employed full time,59.60907289
1982,Female,55-59 years,Employed part time,40.98544227
1982,Female,55-59 years,Not in the labour force  (NILF) ,267.6442965
1982,Female,55-59 years,Unemployed,3.4877628
1982,Female,60-64 years,Employed full time,19.81765758
1982,Female,60-64 years,Employed part time,16.18427708
1982,Female,60-64 years,Not in the labour force  (NILF) ,295.7164964
1982,Female,60-64 years,Unemployed,0.510055983
1982,Female,15-24 years,Employed full time,558.234473
1982,Female,15-24 years,Employed part time,160.0398534
1982,Female,15-24 years,Not in the labour force  (NILF) ,445.1185251
1982,Female,15-24 years,Unemployed,122.1609812
1982,Female,25-34 years,Employed full time,389.496557
1982,Female,25-34 years,Employed part time,217.7583547
1982,Female,25-34 years,Not in the labour force  (NILF) ,572.6218778
1982,Female,25-34 years,Unemployed,48.70118361
1982,Female,35-44 years,Employed full time,286.6010637
1982,Female,35-44 years,Employed part time,240.3820924
1982,Female,35-44 years,Not in the labour force  (NILF) ,395.0564772
1982,Female,35-44 years,Unemployed,29.29186885
1982,Female,45-54 years,Employed full time,202.732093
1982,Female,45-54 years,Employed part time,145.1299492
1982,Female,45-54 years,Not in the labour force  (NILF) ,374.1769745
1982,Female,45-54 years,Unemployed,15.39416791
1982,Female,55-64 years,Employed full time,79.42673047
1982,Female,55-64 years,Employed part time,57.16971935
1982,Female,55-64 years,Not in the labour force  (NILF) ,563.3607929
1982,Female,55-64 years,Unemployed,3.997818783
1982,Female,65 years and over,Employed full time,8.26109345
1982,Female,65 years and over,Employed part time,12.10985178
1982,Female,65 years and over,Not in the labour force  (NILF) ,845.3106455
1982,Female,65 years and over,Unemployed,0.156903542
1983,Female,15-19 years,Employed full time,192.0532347
1983,Female,15-19 years,Employed part time,94.72689955
1983,Female,15-19 years,Not in the labour force  (NILF) ,254.7342941
1983,Female,15-19 years,Unemployed,87.4215685
1983,Female,20-24 years,Employed full time,348.1701299
1983,Female,20-24 years,Employed part time,70.56561903
1983,Female,20-24 years,Not in the labour force  (NILF) ,185.6905276
1983,Female,20-24 years,Unemployed,57.14239553
1983,Female,25-29 years,Employed full time,222.38064
1983,Female,25-29 years,Employed part time,92.07302338
1983,Female,25-29 years,Not in the labour force  (NILF) ,280.5805012
1983,Female,25-29 years,Unemployed,35.43549788
1983,Female,30-34 years,Employed full time,161.5792292
1983,Female,30-34 years,Employed part time,130.9553695
1983,Female,30-34 years,Not in the labour force  (NILF) ,294.0386122
1983,Female,30-34 years,Unemployed,28.74069661
1983,Female,35-39 years,Employed full time,155.6386335
1983,Female,35-39 years,Employed part time,138.1647685
1983,Female,35-39 years,Not in the labour force  (NILF) ,243.4928728
1983,Female,35-39 years,Unemployed,23.14197867
1983,Female,40-44 years,Employed full time,139.8381306
1983,Female,40-44 years,Employed part time,105.0463972
1983,Female,40-44 years,Not in the labour force  (NILF) ,174.3930536
1983,Female,40-44 years,Unemployed,17.66750596
1983,Female,45-49 years,Employed full time,110.3842685
1983,Female,45-49 years,Employed part time,79.80034692
1983,Female,45-49 years,Not in the labour force  (NILF) ,171.516931
1983,Female,45-49 years,Unemployed,11.36845163
1983,Female,50-54 years,Employed full time,89.69610511
1983,Female,50-54 years,Employed part time,59.69265186
1983,Female,50-54 years,Not in the labour force  (NILF) ,211.5976022
1983,Female,50-54 years,Unemployed,6.479637775
1983,Female,55-59 years,Employed full time,58.82936083
1983,Female,55-59 years,Employed part time,44.06302474
1983,Female,55-59 years,Not in the labour force  (NILF) ,266.0180806
1983,Female,55-59 years,Unemployed,4.158624792
1983,Female,60-64 years,Employed full time,22.22299279
1983,Female,60-64 years,Employed part time,18.06865083
1983,Female,60-64 years,Not in the labour force  (NILF) ,302.5351857
1983,Female,60-64 years,Unemployed,0.65166925
1983,Female,15-24 years,Employed full time,540.2233645
1983,Female,15-24 years,Employed part time,165.2925186
1983,Female,15-24 years,Not in the labour force  (NILF) ,440.4248216
1983,Female,15-24 years,Unemployed,144.563964
1983,Female,25-34 years,Employed full time,383.9598692
1983,Female,25-34 years,Employed part time,223.0283929
1983,Female,25-34 years,Not in the labour force  (NILF) ,574.6191134
1983,Female,25-34 years,Unemployed,64.17619449
1983,Female,35-44 years,Employed full time,295.4767642
1983,Female,35-44 years,Employed part time,243.2111657
1983,Female,35-44 years,Not in the labour force  (NILF) ,417.8859264
1983,Female,35-44 years,Unemployed,40.80948463
1983,Female,45-54 years,Employed full time,200.0803736
1983,Female,45-54 years,Employed part time,139.4929988
1983,Female,45-54 years,Not in the labour force  (NILF) ,383.1145333
1983,Female,45-54 years,Unemployed,17.84808941
1983,Female,55-64 years,Employed full time,81.05235363
1983,Female,55-64 years,Employed part time,62.13167557
1983,Female,55-64 years,Not in the labour force  (NILF) ,568.5532664
1983,Female,55-64 years,Unemployed,4.810294042
1983,Female,65 years and over,Employed full time,7.772789908
1983,Female,65 years and over,Employed part time,11.80084874
1983,Female,65 years and over,Not in the labour force  (NILF) ,869.0391295
1983,Female,65 years and over,Unemployed,0.071889492
1984,Female,15-19 years,Employed full time,186.8058375
1984,Female,15-19 years,Employed part time,103.5137058
1984,Female,15-19 years,Not in the labour force  (NILF) ,258.039481
1984,Female,15-19 years,Unemployed,81.34021674
1984,Female,20-24 years,Employed full time,353.1059784
1984,Female,20-24 years,Employed part time,75.41751525
1984,Female,20-24 years,Not in the labour force  (NILF) ,179.0346806
1984,Female,20-24 years,Unemployed,54.60857368
1984,Female,25-29 years,Employed full time,243.5185831
1984,Female,25-29 years,Employed part time,90.85229245
1984,Female,25-29 years,Not in the labour force  (NILF) ,272.6293825
1984,Female,25-29 years,Unemployed,31.93254498
1984,Female,30-34 years,Employed full time,164.6167856
1984,Female,30-34 years,Employed part time,134.5039449
1984,Female,30-34 years,Not in the labour force  (NILF) ,294.3986448
1984,Female,30-34 years,Unemployed,26.25829173
1984,Female,35-39 years,Employed full time,164.8841327
1984,Female,35-39 years,Employed part time,146.7153781
1984,Female,35-39 years,Not in the labour force  (NILF) ,246.2559583
1984,Female,35-39 years,Unemployed,23.11923741
1984,Female,40-44 years,Employed full time,144.0041401
1984,Female,40-44 years,Employed part time,116.5003167
1984,Female,40-44 years,Not in the labour force  (NILF) ,176.7474308
1984,Female,40-44 years,Unemployed,15.90528998
1984,Female,45-49 years,Employed full time,118.7308171
1984,Female,45-49 years,Employed part time,85.2237382
1984,Female,45-49 years,Not in the labour force  (NILF) ,170.429576
1984,Female,45-49 years,Unemployed,12.09726776
1984,Female,50-54 years,Employed full time,91.98320585
1984,Female,50-54 years,Employed part time,65.00428744
1984,Female,50-54 years,Not in the labour force  (NILF) ,198.8284896
1984,Female,50-54 years,Unemployed,6.167715242
1984,Female,55-59 years,Employed full time,59.63749014
1984,Female,55-59 years,Employed part time,45.46221268
1984,Female,55-59 years,Not in the labour force  (NILF) ,265.2365546
1984,Female,55-59 years,Unemployed,4.01640575
1984,Female,60-64 years,Employed full time,20.32754211
1984,Female,60-64 years,Employed part time,20.55763823
1984,Female,60-64 years,Not in the labour force  (NILF) ,314.3522822
1984,Female,60-64 years,Unemployed,0.9651636
1984,Female,15-24 years,Employed full time,539.9118159
1984,Female,15-24 years,Employed part time,178.931221
1984,Female,15-24 years,Not in the labour force  (NILF) ,437.0741615
1984,Female,15-24 years,Unemployed,135.9487904
1984,Female,25-34 years,Employed full time,408.1353687
1984,Female,25-34 years,Employed part time,225.3562373
1984,Female,25-34 years,Not in the labour force  (NILF) ,567.0280273
1984,Female,25-34 years,Unemployed,58.19083672
1984,Female,35-44 years,Employed full time,308.8882728
1984,Female,35-44 years,Employed part time,263.2156949
1984,Female,35-44 years,Not in the labour force  (NILF) ,423.0033892
1984,Female,35-44 years,Unemployed,39.02452739
1984,Female,45-54 years,Employed full time,210.7140229
1984,Female,45-54 years,Employed part time,150.2280256
1984,Female,45-54 years,Not in the labour force  (NILF) ,369.2580656
1984,Female,45-54 years,Unemployed,18.264983
1984,Female,55-64 years,Employed full time,79.96503225
1984,Female,55-64 years,Employed part time,66.01985092
1984,Female,55-64 years,Not in the labour force  (NILF) ,579.5888368
1984,Female,55-64 years,Unemployed,4.98156935
1984,Female,65 years and over,Employed full time,8.906284475
1984,Female,65 years and over,Employed part time,11.2118708
1984,Female,65 years and over,Not in the labour force  (NILF) ,894.1906006
1984,Female,65 years and over,Unemployed,0.2359689
1985,Female,15-19 years,Employed full time,190.3034577
1985,Female,15-19 years,Employed part time,111.1778202
1985,Female,15-19 years,Not in the labour force  (NILF) ,261.5151092
1985,Female,15-19 years,Unemployed,76.12018498
1985,Female,20-24 years,Employed full time,365.6322226
1985,Female,20-24 years,Employed part time,72.62317781
1985,Female,20-24 years,Not in the labour force  (NILF) ,170.2853717
1985,Female,20-24 years,Unemployed,51.17088437
1985,Female,25-29 years,Employed full time,253.1815687
1985,Female,25-29 years,Employed part time,102.1029113
1985,Female,25-29 years,Not in the labour force  (NILF) ,266.1156393
1985,Female,25-29 years,Unemployed,30.60281901
1985,Female,30-34 years,Employed full time,178.7308937
1985,Female,30-34 years,Employed part time,144.6188389
1985,Female,30-34 years,Not in the labour force  (NILF) ,276.2804115
1985,Female,30-34 years,Unemployed,25.9000914
1985,Female,35-39 years,Employed full time,180.3297267
1985,Female,35-39 years,Employed part time,159.7907849
1985,Female,35-39 years,Not in the labour force  (NILF) ,239.7090847
1985,Female,35-39 years,Unemployed,23.80472754
1985,Female,40-44 years,Employed full time,157.6196993
1985,Female,40-44 years,Employed part time,123.7769396
1985,Female,40-44 years,Not in the labour force  (NILF) ,175.9803763
1985,Female,40-44 years,Unemployed,16.13447829
1985,Female,45-49 years,Employed full time,125.1907075
1985,Female,45-49 years,Employed part time,92.20810072
1985,Female,45-49 years,Not in the labour force  (NILF) ,170.37047
1985,Female,45-49 years,Unemployed,10.97702173
1985,Female,50-54 years,Employed full time,86.11788822
1985,Female,50-54 years,Employed part time,64.27758255
1985,Female,50-54 years,Not in the labour force  (NILF) ,201.5681231
1985,Female,50-54 years,Unemployed,6.702124075
1985,Female,55-59 years,Employed full time,57.96871423
1985,Female,55-59 years,Employed part time,43.13816258
1985,Female,55-59 years,Not in the labour force  (NILF) ,268.0711222
1985,Female,55-59 years,Unemployed,4.425576883
1985,Female,60-64 years,Employed full time,22.65141565
1985,Female,60-64 years,Employed part time,19.75941549
1985,Female,60-64 years,Not in the labour force  (NILF) ,320.416326
1985,Female,60-64 years,Unemployed,0.779882783
1985,Female,15-24 years,Employed full time,555.9356802
1985,Female,15-24 years,Employed part time,183.800998
1985,Female,15-24 years,Not in the labour force  (NILF) ,431.8004809
1985,Female,15-24 years,Unemployed,127.2910693
1985,Female,25-34 years,Employed full time,431.9124625
1985,Female,25-34 years,Employed part time,246.7217502
1985,Female,25-34 years,Not in the labour force  (NILF) ,542.3960508
1985,Female,25-34 years,Unemployed,56.50291041
1985,Female,35-44 years,Employed full time,337.949426
1985,Female,35-44 years,Employed part time,283.5677244
1985,Female,35-44 years,Not in the labour force  (NILF) ,415.6894611
1985,Female,35-44 years,Unemployed,39.93920583
1985,Female,45-54 years,Employed full time,211.3085957
1985,Female,45-54 years,Employed part time,156.4856833
1985,Female,45-54 years,Not in the labour force  (NILF) ,371.938593
1985,Female,45-54 years,Unemployed,17.6791458
1985,Female,55-64 years,Employed full time,80.62012988
1985,Female,55-64 years,Employed part time,62.89757808
1985,Female,55-64 years,Not in the labour force  (NILF) ,588.4874482
1985,Female,55-64 years,Unemployed,5.205459667
1985,Female,65 years and over,Employed full time,7.73911225
1985,Female,65 years and over,Employed part time,12.11363403
1985,Female,65 years and over,Not in the labour force  (NILF) ,920.8748591
1985,Female,65 years and over,Unemployed,0.316167242
1986,Female,15-19 years,Employed full time,192.7476824
1986,Female,15-19 years,Employed part time,124.9784234
1986,Female,15-19 years,Not in the labour force  (NILF) ,259.5407674
1986,Female,15-19 years,Unemployed,81.1659721
1986,Female,20-24 years,Employed full time,364.2201563
1986,Female,20-24 years,Employed part time,78.1948646
1986,Female,20-24 years,Not in the labour force  (NILF) ,160.624468
1986,Female,20-24 years,Unemployed,50.78994662
1986,Female,25-29 years,Employed full time,274.730454
1986,Female,25-29 years,Employed part time,107.1394452
1986,Female,25-29 years,Not in the labour force  (NILF) ,252.1049277
1986,Female,25-29 years,Unemployed,32.22146091
1986,Female,30-34 years,Employed full time,189.6193988
1986,Female,30-34 years,Employed part time,156.2926054
1986,Female,30-34 years,Not in the labour force  (NILF) ,260.7509488
1986,Female,30-34 years,Unemployed,27.41870738
1986,Female,35-39 years,Employed full time,197.3673263
1986,Female,35-39 years,Employed part time,173.8325622
1986,Female,35-39 years,Not in the labour force  (NILF) ,225.693199
1986,Female,35-39 years,Unemployed,25.52078863
