Suburb Name or Postcode,Employment Regions (% of population in each Area)
ALTONA (VIC),Western Melbourne (100%)
ALTONA MEADOWS,Western Melbourne (100%)
ALTONA NORTH,Western Melbourne (100%)
ALUMY CREEK,North Coast (100%)
ALVA,Townsville (100%)
ALVIE,South Coast of Victoria (100%)
AMAMOOR,Wide Bay and Sunshine Coast (100%)
AMAMOOR CREEK,Wide Bay and Sunshine Coast (100%)
AMAROO (ACT),Capital Region (100%)
AMAROO (NSW),Central West (100%)
AMBARVALE,Sydney South West (100%)
AMBERGATE,South West WA (100%)
AMBERLEY,Wivenhoe (100%)
AMBLESIDE,North and North Western Tasmania (100%)
AMBROSE,Fitzroy (100%)
AMELUP,Great Southern - Wheatbelt (100%)
AMERICAN BEACH,Adelaide South (100%)
AMERICAN RIVER,Adelaide South (100%)
AMHERST,Ballarat (100%)
AMIENS,Darling Downs (100%)
AMITY,Brisbane South East (100%)
AMOSFIELD,New England and North West (100%)
AMPHITHEATRE,Ballarat (100%)
ANABRANCH NORTH,Murray Riverina (100%)
ANABRANCH SOUTH,Murray Riverina (100%)
ANAKIE,Barwon (100%)
ANAMA,Mid North SA (100%)
ANAMBAH,Hunter (100%)
ANCONA,Goulburn/Murray (100%)
ANDERGROVE,Mackay (100%)
ANDERLEIGH,Wide Bay and Sunshine Coast (100%)
ANDERSON,Gippsland (100%)
ANDO,Capital Region (100%)
ANDOVER,Hobart and Southern Tasmania (100%)
ANDREWS,Mid North SA (100%)
ANDREWS FARM,Adelaide North (100%)
ANDROMACHE,Mackay (100%)
ANDURAMBA,Darling Downs (100%)
ANEMBO,Capital Region (100%)
ANGAS PLAINS,Adelaide South (100%)
ANGAS VALLEY,Murray and South East (100%)
ANGASTON,Mid North SA (100%)
ANGLE PARK,Adelaide North (100%)
ANGLE VALE,Adelaide North (100%)
ANGLEDALE,Illawarra South Coast (100%)
ANGLEDOOL,CDP(75.0%);Far West Orana(25.0%)
ANGLERS REACH,Capital Region (100%)
ANGLERS REST,Gippsland (100%)
ANGLESEA,Barwon (100%)
ANGOURIE,North Coast (100%)
ANKETELL,Perth South (100%)
ANNA BAY,Hunter (100%)
ANNADALE,Murray and South East (100%)
ANNANDALE (NSW),Sydney East Metro (100%)
ANNANDALE (QLD),Townsville (100%)
ANNANGROVE,Sydney North and West (100%)
ANNERLEY,Brisbane South East (100%)
ANNIEBROOK,South West WA (100%)
ANNUELLO,Wimmera Mallee (100%)
ANSONS BAY,North and North Western Tasmania (100%)
ANSTEAD,Wivenhoe (100%)
ANTECHAMBER BAY,Adelaide South (100%)
ANTHONY,Wivenhoe (100%)
ANTIGUA,Wide Bay and Sunshine Coast (100%)
ANTILL PONDS,Hobart and Southern Tasmania (100%)
ANTWERP,Wimmera Mallee (100%)
ANULA,Darwin (100%)
APOINGA,Mid North SA (100%)
APOLLO BAY (TAS),Hobart and Southern Tasmania (100%)
APOLLO BAY (VIC),South Coast of Victoria (100%)
APPIN (NSW),Sydney South West (100%)
APPIN (VIC),Wimmera Mallee (100%)
APPIN SOUTH,Bendigo(56.5%);Wimmera Mallee(43.5%)
APPLE TREE CREEK,Wide Bay and Sunshine Coast (100%)
APPLE TREE FLAT,Central West (100%)
APPLEBY,New England and North West (100%)
APPLECROSS,Perth South (100%)
APPLETHORPE,Darling Downs (100%)
APPLETREE FLAT,Hunter (100%)
APSLAWN,Hobart and Southern Tasmania (100%)
APSLEY (NSW),Far West Orana (100%)
APSLEY (TAS),Hobart and Southern Tasmania (100%)
APSLEY (VIC),Wimmera Mallee (100%)
ARABLE,Capital Region (100%)
ARAKOON,Mid North Coast (100%)
ARALUEN (NSW),Capital Region (100%)
ARALUEN (NT),Darwin(99.8%);CDP(0.2%)
ARALUEN (QLD),Wide Bay and Sunshine Coast (100%)
ARAMARA,Wide Bay and Sunshine Coast (100%)
ARANA HILLS,Somerset (100%)
ARANBANGA,Wide Bay and Sunshine Coast (100%)
ARANDA,Capital Region (100%)
ARARAT,Wimmera Mallee (100%)
ARATULA (NSW),Murray Riverina (100%)
ARATULA (QLD),Wivenhoe (100%)
ARAWATA,Gippsland (100%)
ARCADIA (NSW),Sydney North and West (100%)
ARCADIA (QLD),Townsville (100%)
ARCADIA (VIC),Goulburn/Murray (100%)
ARCADIA SOUTH,Goulburn/Murray (100%)
ARCADIA VALE,Hunter (100%)
ARCADIA VALLEY,Fitzroy (100%)
ARCHDALE,Ballarat(80.6%);Wimmera Mallee(19.4%)
ARCHDALE JUNCTION,Ballarat (100%) 
ARCHERFIELD,Brisbane South East (100%)
ARCHERTON,Goulburn/Murray (100%)
ARCHIES CREEK,Gippsland (100%)
ARCTURUS,Fitzroy (100%)
ARDATH,Great Southern - Wheatbelt (100%)
ARDEER,Western Melbourne (100%)
ARDGLEN,New England and North West (100%)
ARDING,New England and North West (100%)
ARDLETHAN,Murray Riverina(90.8%);Central West(9.2%)
ARDMONA,Goulburn/Murray (100%)
ARDROSS,Perth South (100%)
ARDROSSAN,Mid North SA (100%)
AREEGRA,Wimmera Mallee (100%)
ARGALONG,Murray Riverina (100%)
ARGENTON,Hunter (100%)
ARGENTS HILL,Mid North Coast (100%)
ARGOON (NSW),Murray Riverina (100%)
ARGOON (QLD),Fitzroy (100%)
ARGYLE (VIC),Bendigo (100%)
ARGYLE (WA),South West WA (100%)
ARGYLL,Fitzroy (100%)
ARIAH PARK,Murray Riverina(88.1%);Central West(11.9%)
ARKELL,Central West (100%)
ARKSTONE,Central West (100%)
ARMADALE (VIC),Inner Metropolitan Melbourne (100%)
ARMADALE (WA),Perth South (100%)
ARMAGH,Mid North SA (100%)
ARMATREE,Far West Orana (100%)
ARMIDALE,New England and North West (100%)
ARMIDALE (UNIVERSITY OF NEW ENGLAND),New England and North West (100%)
ARMSTRONG,Wimmera Mallee (100%)
ARMSTRONG BEACH,Mackay (100%)
ARMSTRONG CREEK (QLD),Somerset (100%)
ARMSTRONG CREEK (VIC),Barwon (100%)
ARNCLIFFE,Sydney East Metro (100%)
ARNDELL PARK,Sydney Greater West (100%)
ARNOLD (VIC),Bendigo (100%)
ARNOLD WEST,Bendigo (100%)
AROONA,Wide Bay and Sunshine Coast (100%)
ARRAWARRA,Mid North Coast (100%)
ARRAWARRA HEADLAND,Mid North Coast (100%)
ARTARMON,Sydney North and West (100%)
ARTHUR RIVER (TAS),North and North Western Tasmania (100%)
ARTHUR RIVER (WA),Great Southern - Wheatbelt (100%)
ARTHURS CREEK,North Eastern Melbourne (100%)
ARTHURS LAKE,Hobart and Southern Tasmania (100%)
ARTHURS SEAT,South Eastern Melbourne and Peninsula (100%)
ARTHURTON,Mid North SA (100%)
ARTHURVILLE,Far West Orana (100%)
ARUMPO,Murray Riverina (100%)
ARUNDEL,Gold Coast (100%)
ASCOT (QLD 4007),Somerset (100%)
ASCOT (QLD 4360),Darling Downs (100%)
ASCOT (VIC 3364),Ballarat (100%)
ASCOT (VIC 3551),Bendigo (100%)
ASCOT (WA),Perth South (100%)
ASCOT PARK,Adelaide South (100%)
ASCOT VALE,Inner Metropolitan Melbourne (100%)
ASHBOURNE (SA),Adelaide South (100%)
ASHBOURNE (VIC),Bendigo (100%)
ASHBURTON,Inner Metropolitan Melbourne (100%)
ASHBURY,Sydney East Metro (100%)
ASHBY (NSW),North Coast (100%)
ASHBY (WA),Perth North (100%)
ASHBY HEIGHTS,North Coast (100%)
ASHBY ISLAND,North Coast (100%)
ASHCROFT,Sydney South West (100%)
ASHFIELD (NSW),Sydney East Metro (100%)
ASHFIELD (QLD),Wide Bay and Sunshine Coast (100%)
ASHFIELD (WA),Perth North (100%)
ASHFORD (NSW),New England and North West (100%)
ASHFORD (SA),Adelaide North (100%)
ASHGROVE,Somerset (100%)
ASHLEY,New England and North West (100%)
ASHMONT,Murray Riverina (100%)
ASHMORE,Gold Coast (100%)
ASHTON,Adelaide South (100%)
ASHTONFIELD,Hunter (100%)
ASHVILLE,Murray and South East (100%)
ASHWELL,Wivenhoe (100%)
ASHWOOD,South Eastern Melbourne and Peninsula (100%)
ASPENDALE,Inner Metropolitan Melbourne (100%)
ASPENDALE GARDENS,Inner Metropolitan Melbourne (100%)
ASPLEY,Somerset (100%)
ASQUITH,Sydney North and West (100%)
ATHELSTONE,Adelaide South (100%)
ATHERTON,Cairns (100%)
ATHLONE,Gippsland (100%)
ATHOL,Darling Downs (100%)
ATHOL PARK,Adelaide North (100%)
ATHOLWOOD,New England and North West (100%)
ATKINSONS DAM,Wivenhoe (100%)
ATTADALE,Perth South (100%)
ATTUNGA,New England and North West (100%)
ATTWOOD,North Western Melbourne (100%)
ATWELL,Perth South (100%)
AUBIGNY,Darling Downs (100%)
AUBIN GROVE,Perth South (100%)
AUBREY,Wimmera Mallee (100%)
AUBURN (NSW),Sydney Greater West (100%)
AUBURN (QLD),Darling Downs (100%)
AUBURN (SA),Mid North SA (100%)
AUBURN VALE,New England and North West (100%)
AUCHENFLOWER,Somerset (100%)
AUCHMORE,Bendigo (100%)
AUGUSTA,South West WA (100%)
AUGUSTINE HEIGHTS,Wivenhoe (100%)
AULDANA,Adelaide South (100%)
AUSTINMER,Illawarra South Coast (100%)
AUSTINS FERRY,Hobart and Southern Tasmania (100%)
AUSTINVILLE,Gold Coast (100%)
AUSTRAL,Sydney South West (100%)
AUSTRAL EDEN,Mid North Coast (100%)
AUSTRALIA PLAINS,Mid North SA (100%)
AUSTRALIND,South West WA (100%)
AVALON (NSW),Sydney North and West (100%)
AVALON (VIC),Barwon (100%)
AVELEY,Perth North (100%)
AVENEL,Goulburn/Murray (100%)
AVENELL HEIGHTS,Wide Bay and Sunshine Coast (100%)
AVENUE RANGE,Murray and South East (100%)
AVISFORD,Central West (100%)
AVOCA (NSW),Illawarra South Coast (100%)
AVOCA (QLD),Wide Bay and Sunshine Coast (100%)
AVOCA (TAS),North and North Western Tasmania (100%)
AVOCA (VIC),Ballarat (100%)
AVOCA BEACH,Sydney North and West (100%)
AVOCA DELL,Murray and South East (100%)
AVOCA VALE,Somerset (100%)
AVON (SA),Mid North SA (100%)
AVON PLAINS,Wimmera Mallee (100%)
AVONDALE (NSW),Illawarra South Coast (100%)
AVONDALE (QLD),Wide Bay and Sunshine Coast (100%)
AVONDALE HEIGHTS,North Western Melbourne (100%)
AVONMORE,Bendigo (100%)
AVONSIDE,Capital Region (100%)
AVONSLEIGH,South Eastern Melbourne and Peninsula (100%)
AWABA,Hunter (100%)
AXE CREEK,Bendigo (100%)
AXEDALE,Bendigo (100%)
AYLMERTON,Illawarra South Coast (100%)
AYR,Townsville (100%)
AYRFORD,South Coast of Victoria (100%)
BAAN BAA,New England and North West (100%)
BAANDEE,Great Southern - Wheatbelt (100%)
BABAKIN,Great Southern - Wheatbelt (100%)
BABINDA (NSW),Far West Orana (100%)
BABINDA (QLD),Cairns (100%)
BABYL CREEK,North Coast (100%)
BACCHUS MARSH,Western Melbourne (100%)
BACK CREEK (NSW 2372),New England and North West (100%)
BACK CREEK (NSW 2390),New England and North West (100%)
BACK CREEK (NSW 2422),Mid North Coast (100%)
BACK CREEK (NSW 2484),North Coast (100%)
BACK CREEK (NSW 2622),Capital Region (100%)
BACK CREEK (NSW 2671),Central West (100%)
BACK FOREST,Illawarra South Coast (100%)
BACK PLAINS,Darling Downs (100%)
BACK VALLEY,Adelaide South (100%)
BACKMEDE,North Coast (100%)
BACKWATER,New England and North West (100%)
BADDAGINNIE,Goulburn/Murray (100%)
BADEN,Hobart and Southern Tasmania (100%)
BADGEBUP,Great Southern - Wheatbelt (100%)
BADGER CREEK,North Eastern Melbourne (100%)
BADGER HEAD,North and North Western Tasmania (100%)
BADGERIN ROCK,Great Southern - Wheatbelt (100%)
BADGERYS CREEK,Sydney South West(90.5%);Sydney Greater West(9.5%)
BADGIN,Great Southern - Wheatbelt (100%)
BADGINGARRA,Great Southern - Wheatbelt (100%)
BADJA,Capital Region (100%)
BADJALING,Great Southern - Wheatbelt (100%)
BAEL BAEL,Wimmera Mallee (100%)
BAERAMI,Hunter (100%)
BAERAMI CREEK,Hunter (100%)
BAFFLE CREEK,Fitzroy (100%)
BAFFLE WEST,Darling Downs (100%)
BAGDAD,Hobart and Southern Tasmania (100%)
BAGNOO,Mid North Coast (100%)
BAGO,Mid North Coast (100%)
BAGOT WELL,Mid North SA (100%)
BAGOTVILLE,North Coast (100%)
BAGSHOT,Bendigo (100%)
BAGSHOT NORTH,Bendigo (100%)
BAHGALLAH,South Coast of Victoria (100%)
BAHRS SCRUB,Brisbane South East (100%)
BAILIESTON,Goulburn/Murray (100%)
BAILUP,Perth North (100%)
BAIRNSDALE,Gippsland (100%)
BAJOOL,Fitzroy (100%)
BAKERS BEACH,North and North Western Tasmania (100%)
BAKERS CREEK (NSW 2359),New England and North West (100%)
BAKERS CREEK (NSW 2422),Mid North Coast (100%)
BAKERS CREEK (NSW 2447),Mid North Coast (100%)
BAKERS CREEK (QLD),Mackay (100%)
BAKERS HILL,Great Southern - Wheatbelt (100%)
BAKERS SWAMP,Far West Orana (100%)
BAKERY HILL,Ballarat (100%)
BAKEWELL,Darwin (100%)
BAKING BOARD,Darling Downs (100%)
BALACLAVA (NSW),Illawarra South Coast (100%)
BALACLAVA (VIC),Inner Metropolitan Melbourne (100%)
BALAKLAVA,Mid North SA (100%)
BALALA,New England and North West (100%)
BALBARRUP,South West WA (100%)
BALBERRA,Mackay (100%)
BALCATTA,Perth North (100%)
BALCOLYN,Hunter (100%)
BALCOMBA,Fitzroy (100%)
BALD BLAIR,New England and North West (100%)
BALD HILLS (NSW),Illawarra South Coast (100%)
BALD HILLS (QLD),Somerset (100%)
BALD HILLS (SA),Adelaide South (100%)
BALD HILLS (VIC),Ballarat (100%)
BALD KNOB,Wide Bay and Sunshine Coast (100%)
BALD NOB,New England and North West (100%)
BALD RIDGE,Central West (100%)
BALDERSLEIGH,New England and North West (100%)
BALDINA,Mid North SA (100%)
BALDIVIS,Perth South (100%)
BALDRY,Central West (100%)
BALFOURS PEAK,New England and North West (100%)
BALGA,Perth North (100%)
BALGAL BEACH,Townsville (100%)
BALGOWAN (QLD),Darling Downs (100%)
BALGOWAN (SA),Mid North SA (100%)
BALGOWLAH,Sydney North and West (100%)
BALGOWLAH HEIGHTS,Sydney North and West (100%)
BALGOWNIE,Illawarra South Coast (100%)
BALHANNAH,Adelaide South (100%)
BALICKERA,Hunter (100%)
BALINGUP,South West WA (100%)
BALINTORE,South Coast of Victoria (100%)
BALKULING,Great Southern - Wheatbelt (100%)
BALL BAY,Mackay (100%)
BALLADONG,Great Southern - Wheatbelt (100%)
BALLADORAN,Far West Orana (100%)
BALLAJURA,Perth North (100%)
BALLALABA,Capital Region (100%)
BALLAN,Ballarat (100%)
BALLANDEAN,Darling Downs (100%)
BALLANGEICH,South Coast of Victoria (100%)
BALLAPUR,Wimmera Mallee (100%)
BALLARAT CENTRAL,Ballarat (100%)
BALLARAT EAST,Ballarat (100%)
BALLARAT NORTH,Ballarat (100%)
BALLARD,Darling Downs (100%)
BALLAROO,Darling Downs (100%)
BALLAST HEAD,Adelaide South (100%)
BALLAYING,Great Southern - Wheatbelt (100%)
BALLDALE,Murray Riverina (100%)
BALLENDELLA,Goulburn/Murray (100%)
BALLENGARRA,Mid North Coast (100%)
BALLIANG,Barwon(57.6%);Ballarat(42.4%)
BALLIANG EAST,Ballarat (100%)
BALLIDU,Great Southern - Wheatbelt (100%)
BALLIMORE,Far West Orana (100%)
BALLINA,North Coast (100%)
BALLOGIE,Wide Bay and Sunshine Coast (100%)
BALLY BALLY,Great Southern - Wheatbelt (100%)
BALLYROGAN,Wimmera Mallee (100%)
BALMAIN,Sydney East Metro (100%)
BALMAIN EAST,Sydney East Metro (100%)
BALMATTUM,Goulburn/Murray (100%)
BALMORAL (NSW 2283),Hunter (100%)
BALMORAL (NSW 2571),Illawarra South Coast (100%)
BALMORAL (QLD),Somerset (100%)
BALMORAL (VIC),South Coast of Victoria (100%)
BALMORAL RIDGE,Wide Bay and Sunshine Coast (100%)
BALNAGOWAN,Mackay (100%)
BALNARRING,South Eastern Melbourne and Peninsula (100%)
BALNARRING BEACH,South Eastern Melbourne and Peninsula (100%)
BALOOK,Gippsland (100%)
BALRANALD,Murray Riverina (100%)
BALWYN,Inner Metropolitan Melbourne (100%)
BALWYN NORTH,Inner Metropolitan Melbourne (100%)
BAMARANG,Illawarra South Coast (100%)
BAMAWM,Goulburn/Murray (100%)
BAMAWM EXTENSION,Goulburn/Murray (100%)
BAMBAROO,Townsville (100%)
BAMBOO,Cairns (100%)
BAMBOO CREEK,Cairns (100%)
BAMBRA,Barwon (100%)
BAMBUN,Great Southern - Wheatbelt (100%)
BAMGANIE,Barwon (100%)
BAN BAN,Wide Bay and Sunshine Coast (100%)
BAN BAN SPRINGS,Wide Bay and Sunshine Coast (100%)
BANANA,Fitzroy (100%)
BANCA,North and North Western Tasmania (100%)
BANCROFT,Wide Bay and Sunshine Coast (100%)
BANDIANA,Goulburn/Murray (100%)
BANDON GROVE,Hunter (100%)
BANGADANG,Murray Riverina (100%)
BANGALEE (NSW),Illawarra South Coast (100%)
BANGALEE (QLD),Fitzroy (100%)
BANGALOW,North Coast (100%)
BANGERANG,Wimmera Mallee (100%)
BANGHAM,Murray and South East (100%)
BANGHEET,New England and North West (100%)
BANGHOLME,South Eastern Melbourne and Peninsula (100%)
BANGO,Capital Region (100%)
BANGOR (NSW),Sydney East Metro (100%)
BANGOR (TAS),North and North Western Tasmania (100%)
BANJUP,Perth South (100%)
BANKS,Capital Region (100%)
BANKS CREEK,Wivenhoe (100%)
BANKS POCKET,Wide Bay and Sunshine Coast (100%)
BANKSIA,Sydney East Metro (100%)
BANKSIA BEACH,Somerset (100%)
BANKSIA GROVE,Perth North (100%)
BANKSIA PARK,Adelaide North (100%)
BANKSMEADOW,Sydney East Metro (100%)
BANKSTOWN,Sydney South West(99.2%);Sydney East Metro(0.8%)
BANKSTOWN AERODROME,Sydney South West (100%)
BANNABY,Capital Region (100%)
BANNERTON,Wimmera Mallee (100%)
BANNISTER (NSW),Capital Region (100%)
BANNISTER (WA),Perth South(97.5%);Great Southern - Wheatbelt(2.5%)
BANNOCKBURN (QLD),Brisbane South East (100%)
BANNOCKBURN (VIC),Barwon (100%)
BANOON,New England and North West (100%)
BANORA POINT,Gold Coast (100%)
BANYABBA,North Coast (100%)
BANYAN,Wimmera Mallee (100%)
BANYENA,Wimmera Mallee (100%)
BANYO,Somerset (100%)
BAPAUME,Darling Downs (100%)
BAR BEACH,Hunter (100%)
BAR POINT,Sydney North and West (100%)
BARA,Central West (100%)
BARABBA,Mid North SA (100%)
BARADINE,Far West Orana (100%)
BARALABA,Fitzroy (100%)
BARAMBAH,Wide Bay and Sunshine Coast (100%)
BARANDUDA,Goulburn/Murray (100%)
BARANGAROO,Sydney East Metro (100%)
BARBALIN,Great Southern - Wheatbelt (100%)
BARBERTON,Great Southern - Wheatbelt (100%)
BARCOONGERE,Mid North Coast (100%) 
BARDEN RIDGE,Sydney East Metro (100%)
BARDIA,Sydney South West (100%)
BARDON,Somerset (100%)
BARDWELL PARK,Sydney East Metro (100%)
BARDWELL VALLEY,Sydney East Metro (100%)
BAREE,Fitzroy (100%)
BARELLAN,Murray Riverina(88.9%);Central West(11.1%)
BARELLAN POINT,Wivenhoe (100%)
BARFOLD,Bendigo (100%)
BARGARA,Wide Bay and Sunshine Coast (100%)
BARGO,Sydney South West (100%) 
BARHAM,Murray Riverina (100%)
BARIGAN,Central West (100%)
BARINGHUP,Bendigo (100%)
BARINGHUP WEST,Bendigo (100%)
BARINIA,Mid North SA (100%)
BARJARG,Goulburn/Murray (100%)
BARKER CREEK FLAT,Wide Bay and Sunshine Coast (100%)
BARKERS CREEK,Bendigo (100%)
BARKERS VALE,North Coast (100%)
BARKLY (VIC),Ballarat (100%)
BARKSTEAD,Ballarat (100%)
BARLIL,Wide Bay and Sunshine Coast (100%)
BARLOWS HILL,Fitzroy (100%)
BARMAH,Goulburn/Murray (100%)
BARMARYEE,Fitzroy (100%)
BARMEDMAN,Central West(92.1%);Murray Riverina(7.9%)
BARMERA,Murray and South East (100%)
BARMOYA,Fitzroy (100%)
BARNADOWN,Bendigo (100%)
BARNARD,Fitzroy (100%)
BARNAWARTHA,Goulburn/Murray (100%)
BARNAWARTHA NORTH,Goulburn/Murray (100%)
BARNES BAY,Hobart and Southern Tasmania (100%)
BARNEY POINT,Fitzroy (100%)
BARNEY VIEW,Brisbane South East (100%)
BARNEYS REEF,Central West (100%)
BARNSLEY,Hunter (100%)
BAROMI,Gippsland (100%)
BARONGAROOK,South Coast of Victoria (100%)
BARONGAROOK WEST,South Coast of Victoria (100%)
BAROOGA,Murray Riverina (100%)
BAROONDAH,Fitzroy (100%)
BAROSSA GOLDFIELDS,Mid North SA (100%)
BARRABA,New England and North West (100%)
BARRABOOL,Barwon (100%)
BARRABUP,South West WA (100%)
BARRACK HEIGHTS,Illawarra South Coast (100%)
BARRACK POINT,Illawarra South Coast (100%)
